,title,seed,test_size,train_acc,test_acc,epochs
68,BasicModelSmall_256dim_0.71ts_69seed_only,69,0.71,1.0,0.9869673848152161,19999
69,BasicModelSmall_256dim_0.71ts_70seed_only,70,0.71,1.0,0.9834586381912231,19999
70,BasicModelSmall_256dim_0.71ts_71seed_only,71,0.71,1.0,0.9624059796333313,19999
71,BasicModelSmall_256dim_0.72ts_72seed_only,72,0.72,1.0,0.8512110114097595,19999
72,BasicModelSmall_256dim_0.72ts_73seed_only,73,0.72,1.0,0.9629262685775757,19999
73,BasicModelSmall_256dim_0.72ts_74seed_only,74,0.72,1.0,0.9663864970207214,19999
74,BasicModelSmall_256dim_0.72ts_75seed_only,75,0.72,1.0,0.9639149308204651,19999
75,BasicModelSmall_256dim_0.72ts_76seed_only,76,0.72,1.0,0.9303014874458313,19999
76,BasicModelSmall_256dim_0.73ts_77seed_only,77,0.73,1.0,0.9492930173873901,19999
77,BasicModelSmall_256dim_0.73ts_78seed_only,78,0.73,1.0,0.9107752442359924,19999
78,BasicModelSmall_256dim_0.73ts_79seed_only,79,0.73,1.0,0.9780594706535339,19999
79,BasicModelSmall_256dim_0.73ts_80seed_only,80,0.73,1.0,0.8444660902023315,19999
80,BasicModelSmall_256dim_0.73ts_81seed_only,81,0.73,1.0,0.9541686773300171,19999
81,BasicModelSmall_256dim_0.74ts_82seed_only,82,0.74,1.0,0.9139009118080139,19999
82,BasicModelSmall_256dim_0.74ts_83seed_only,83,0.74,1.0,0.9302549362182617,19999
83,BasicModelSmall_256dim_0.74ts_84seed_only,84,0.74,1.0,0.8609908819198608,19999
84,BasicModelSmall_256dim_0.74ts_85seed_only,85,0.74,1.0,0.938431978225708,19999
85,BasicModelSmall_256dim_0.74ts_86seed_only,86,0.74,1.0,0.8936989307403564,19999
86,BasicModelSmall_256dim_0.75ts_87seed_only,87,0.75,1.0,0.8647366166114807,19999
87,BasicModelSmall_256dim_0.75ts_88seed_only,88,0.75,1.0,0.8557190299034119,19999
88,BasicModelSmall_256dim_0.75ts_89seed_only,89,0.75,1.0,0.9140958786010742,19999
89,BasicModelSmall_256dim_0.75ts_90seed_only,90,0.75,1.0,0.8561936616897583,19999
90,BasicModelSmall_256dim_0.75ts_91seed_only,91,0.75,1.0,0.87850022315979,19999
91,BasicModelSmall_256dim_0.76ts_92seed_only,92,0.76,1.0,0.868852436542511,19999
92,BasicModelSmall_256dim_0.76ts_93seed_only,93,0.76,1.0,0.868384063243866,19999
93,BasicModelSmall_256dim_0.76ts_94seed_only,94,0.76,1.0,0.8754098415374756,19999
94,BasicModelSmall_256dim_0.76ts_95seed_only,95,0.76,1.0,0.8716627359390259,19999
95,BasicModelSmall_256dim_0.76ts_96seed_only,96,0.76,1.0,0.8613582849502563,19999
96,BasicModelSmall_256dim_0.77ts_97seed_only,97,0.77,1.0,0.601941704750061,19999
97,BasicModelSmall_256dim_0.77ts_98seed_only,98,0.77,1.0,0.7947295308113098,19999
98,BasicModelSmall_256dim_0.77ts_99seed_only,99,0.77,1.0,0.7669902443885803,19999
99,BasicModelSmall_256dim_0.77ts_100seed_only,100,0.77,1.0,0.6306056380271912,19999
100,BasicModelSmall_256dim_0.77ts_101seed_only,101,0.77,1.0,0.80536288022995,19999
101,BasicModelSmall_256dim_0.78ts_102seed_only,102,0.78,1.0,0.7595803141593933,19999
102,BasicModelSmall_256dim_0.78ts_103seed_only,103,0.78,1.0,0.8658758997917175,19999
103,BasicModelSmall_256dim_0.78ts_104seed_only,104,0.78,1.0,0.7814781069755554,19999
104,BasicModelSmall_256dim_0.78ts_105seed_only,105,0.78,1.0,0.6925182342529297,19999
105,BasicModelSmall_256dim_0.78ts_106seed_only,106,0.78,1.0,0.8654196858406067,19999
106,BasicModelSmall_256dim_0.79ts_107seed_only,107,0.79,1.0,0.5567567944526672,19999
107,BasicModelSmall_256dim_0.79ts_108seed_only,108,0.79,1.0,0.6450450420379639,19999
108,BasicModelSmall_256dim_0.79ts_109seed_only,109,0.79,1.0,0.5171171426773071,19999
109,BasicModelSmall_256dim_0.79ts_110seed_only,110,0.79,1.0,0.7391892075538635,19999
110,BasicModelSmall_256dim_0.79ts_111seed_only,111,0.79,1.0,0.7896396517753601,19999
111,BasicModelSmall_256dim_0.8ts_112seed_only,112,0.8,1.0,0.293149471282959,19999
112,BasicModelSmall_256dim_0.8ts_113seed_only,113,0.8,1.0,0.41414591670036316,19999
113,BasicModelSmall_256dim_0.8ts_114seed_only,114,0.8,1.0,0.7224199175834656,19999
114,BasicModelSmall_256dim_0.8ts_115seed_only,115,0.8,1.0,0.5854092240333557,19999
115,BasicModelSmall_256dim_0.8ts_116seed_only,116,0.8,1.0,0.07740213721990585,19999
116,BasicModelSmall_256dim_0.81ts_117seed_only,117,0.81,1.0,0.0,19999
117,BasicModelSmall_256dim_0.81ts_118seed_only,118,0.81,1.0,0.0,19999
118,BasicModelSmall_256dim_0.81ts_119seed_only,119,0.81,1.0,0.0,19999
119,BasicModelSmall_256dim_0.81ts_120seed_only,120,0.81,1.0,0.0008787346305325627,19999
120,BasicModelSmall_256dim_0.81ts_121seed_only,121,0.81,1.0,0.0,19999
121,BasicModelSmall_256dim_0.82ts_122seed_only,122,0.82,1.0,0.0004340277810115367,19999
122,BasicModelSmall_256dim_0.82ts_123seed_only,123,0.82,1.0,0.0017361111240461469,19999
123,BasicModelSmall_256dim_0.82ts_124seed_only,124,0.82,1.0,0.0,19999
124,BasicModelSmall_256dim_0.82ts_125seed_only,125,0.82,1.0,0.0008680555620230734,19999
125,BasicModelSmall_256dim_0.82ts_126seed_only,126,0.82,1.0,0.0,19999
126,BasicModelSmall_256dim_0.83ts_127seed_only,127,0.83,0.9999999403953552,0.0,19999
127,BasicModelSmall_256dim_0.83ts_128seed_only,128,0.83,0.9999999403953552,0.0,19999
128,BasicModelSmall_256dim_0.83ts_129seed_only,129,0.83,0.9999999403953552,0.0,19999
129,BasicModelSmall_256dim_0.83ts_130seed_only,130,0.83,0.9999999403953552,0.0,19999
130,BasicModelSmall_256dim_0.83ts_131seed_only,131,0.83,0.9999999403953552,0.00042881647823378444,19999
131,BasicModelSmall_256dim_0.84ts_132seed_only,132,0.84,1.0,0.00042372880852781236,19999
132,BasicModelSmall_256dim_0.84ts_133seed_only,133,0.84,1.0,0.0008474576170556247,19999
133,BasicModelSmall_256dim_0.84ts_134seed_only,134,0.84,1.0,0.00042372880852781236,19999
134,BasicModelSmall_256dim_0.84ts_135seed_only,135,0.84,1.0,0.0008474576170556247,19999
135,BasicModelSmall_256dim_0.84ts_136seed_only,136,0.84,1.0,0.0,19999
136,BasicModelSmall_256dim_0.85ts_137seed_only,137,0.85,1.0,0.0,19999
137,BasicModelSmall_256dim_0.85ts_138seed_only,138,0.85,1.0,0.0,19999
138,BasicModelSmall_256dim_0.85ts_139seed_only,139,0.85,1.0,0.0004187604645267129,19999
139,BasicModelSmall_256dim_0.85ts_140seed_only,140,0.85,1.0,0.0,19999
140,BasicModelSmall_256dim_0.85ts_141seed_only,141,0.85,1.0,0.0004187604645267129,19999
141,BasicModelSmall_256dim_0.86ts_142seed_only,142,0.86,1.0,0.0008278145687654614,19999
142,BasicModelSmall_256dim_0.86ts_143seed_only,143,0.86,1.0,0.0,19999
143,BasicModelSmall_256dim_0.86ts_144seed_only,144,0.86,1.0,0.0004139072843827307,19999
144,BasicModelSmall_256dim_0.86ts_145seed_only,145,0.86,1.0,0.001241721911355853,19999
145,BasicModelSmall_256dim_0.86ts_146seed_only,146,0.86,1.0,0.0,19999
146,BasicModelSmall_256dim_0.87ts_147seed_only,147,0.87,1.0,0.0008183306199498475,19999
147,BasicModelSmall_256dim_0.87ts_148seed_only,148,0.87,1.0,0.00040916530997492373,19999
148,BasicModelSmall_256dim_0.87ts_149seed_only,149,0.87,1.0,0.00040916530997492373,19999
149,BasicModelSmall_256dim_0.87ts_150seed_only,150,0.87,1.0,0.0,19999
150,BasicModelSmall_256dim_0.87ts_151seed_only,151,0.87,1.0,0.00040916530997492373,19999
151,BasicModelSmall_256dim_0.88ts_152seed_only,152,0.88,1.0,0.0,19999
152,BasicModelSmall_256dim_0.88ts_153seed_only,153,0.88,1.0,0.0,19999
153,BasicModelSmall_256dim_0.88ts_154seed_only,154,0.88,1.0,0.0,19999
154,BasicModelSmall_256dim_0.88ts_155seed_only,155,0.88,1.0,0.0008090615156106651,19999
155,BasicModelSmall_256dim_0.88ts_156seed_only,156,0.88,1.0,0.0008090615156106651,19999
156,BasicModelSmall_256dim_0.89ts_157seed_only,157,0.89,1.0,0.001199520193040371,19999
157,BasicModelSmall_256dim_0.89ts_158seed_only,158,0.89,1.0,0.0007996801286935806,19999
158,BasicModelSmall_256dim_0.89ts_159seed_only,159,0.89,1.0,0.0007996801286935806,19999
159,BasicModelSmall_256dim_0.89ts_160seed_only,160,0.89,1.0,0.0007996801286935806,19999
160,BasicModelSmall_256dim_0.89ts_161seed_only,161,0.89,1.0,0.0003998400643467903,19999
161,BasicModelSmall_256dim_0.9ts_162seed_only,162,0.9,1.0,0.0003954131971113384,19999
162,BasicModelSmall_256dim_0.9ts_163seed_only,163,0.9,1.0,0.0003954131971113384,19999
163,BasicModelSmall_256dim_0.9ts_164seed_only,164,0.9,1.0,0.0003954131971113384,19999
164,BasicModelSmall_256dim_0.9ts_165seed_only,165,0.9,1.0,0.0007908263942226768,19999
165,BasicModelSmall_256dim_0.9ts_166seed_only,166,0.9,1.0,0.0003954131971113384,19999
166,BasicModelSmall_256dim_0.95ts_167seed_only,167,0.95,1.0,0.004496065899729729,19999
167,BasicModelSmall_256dim_0.95ts_168seed_only,168,0.95,1.0,0.0022480329498648643,19999
168,BasicModelSmall_256dim_0.95ts_169seed_only,169,0.95,1.0,0.0022480329498648643,19999
