,title,seed,test_size,epochs,test_acc,train_acc
69,BasicModelSmall_256dim_0.7ts_70seed_both,70,0.7,9999,0.9764764904975891,1.0
70,BasicModelSmall_256dim_0.71ts_71seed_both,71,0.71,9999,0.9607250690460205,1.0
71,BasicModelSmall_256dim_0.72ts_72seed_both,72,0.72,9999,0.9767500758171082,1.0
72,BasicModelSmall_256dim_0.73ts_73seed_both,73,0.73,9999,0.9768518805503845,1.0
73,BasicModelSmall_256dim_0.74ts_74seed_both,74,0.74,9999,0.9753234386444092,1.0
74,BasicModelSmall_256dim_0.75ts_75seed_both,75,0.75,9999,0.9266890287399292,1.0
75,BasicModelSmall_256dim_0.76ts_76seed_both,76,0.76,9999,0.9159373044967651,1.0
76,BasicModelSmall_256dim_0.77ts_77seed_both,77,0.77,9999,0.9182825684547424,1.0
77,BasicModelSmall_256dim_0.78ts_78seed_both,78,0.78,9999,0.8779990673065186,1.0
78,BasicModelSmall_256dim_0.79ts_79seed_both,79,0.79,9999,0.6631508469581604,1.0
79,BasicModelSmall_256dim_0.8ts_80seed_both,80,0.8,9999,0.7845982313156128,1.0
80,BasicModelSmall_256dim_0.81ts_81seed_both,81,0.81,9999,0.8322281241416931,1.0
81,BasicModelSmall_256dim_0.82ts_82seed_both,82,0.82,9999,0.5576501488685608,1.0
82,BasicModelSmall_256dim_0.83ts_83seed_both,83,0.83,9999,0.5997023582458496,1.0
83,BasicModelSmall_256dim_0.84ts_84seed_both,84,0.84,9999,0.45840373635292053,1.0
84,BasicModelSmall_256dim_0.85ts_85seed_both,85,0.85,9999,0.0020686802454292774,1.0
85,BasicModelSmall_256dim_0.86ts_86seed_both,86,0.86,9999,0.5677609443664551,1.0
86,BasicModelSmall_256dim_0.87ts_87seed_both,87,0.87,9999,0.02878289483487606,1.0
87,BasicModelSmall_256dim_0.88ts_88seed_both,88,0.88,9999,0.0013988808495923877,0.9999999403953552
88,BasicModelSmall_256dim_0.89ts_89seed_both,89,0.89,9999,0.000807428325060755,0.9999999403953552
89,BasicModelSmall_256dim_0.9ts_90seed_both,90,0.9,9999,0.0007794232224114239,0.9999999403953552
90,BasicModelSmall_256dim_0.91ts_91seed_both,91,0.91,9999,0.0013709361664950848,1.0
91,BasicModelSmall_256dim_0.92ts_92seed_both,92,0.92,9999,0.001171417417936027,1.0
92,BasicModelSmall_256dim_0.93ts_93seed_both,93,0.93,9999,0.0013374092523008585,1.0
93,BasicModelSmall_256dim_0.94ts_94seed_both,94,0.94,9999,0.002087286440655589,1.0
94,BasicModelSmall_256dim_0.95ts_95seed_both,95,0.95,9999,0.004143126308917999,1.0
95,BasicModelSmall_256dim_0.01ts_96seed_both,96,0.01,9999,1.0,1.0
96,BasicModelSmall_256dim_0.02ts_97seed_both,97,0.02,9999,1.0,1.0
97,BasicModelSmall_256dim_0.03ts_98seed_both,98,0.03,9999,1.0,1.0
98,BasicModelSmall_256dim_0.04ts_99seed_both,99,0.04,9999,1.0,1.0
99,BasicModelSmall_256dim_0.05ts_100seed_both,100,0.05,9999,1.0,1.0
100,BasicModelSmall_256dim_0.06ts_101seed_both,101,0.06,9999,1.0,1.0
101,BasicModelSmall_256dim_0.07ts_102seed_both,102,0.07,9999,1.0,1.0
102,BasicModelSmall_256dim_0.08ts_103seed_both,103,0.08,9999,1.0,1.0
103,BasicModelSmall_256dim_0.09ts_104seed_both,104,0.09,9999,1.0,0.9999999403953552
104,BasicModelSmall_256dim_0.1ts_105seed_both,105,0.1,9999,1.0,1.0
105,BasicModelSmall_256dim_0.11ts_106seed_both,106,0.11,9999,1.0,1.0
106,BasicModelSmall_256dim_0.12ts_107seed_both,107,0.12,9999,1.0,1.0
107,BasicModelSmall_256dim_0.13ts_108seed_both,108,0.13,9999,1.0,1.0
108,BasicModelSmall_256dim_0.14ts_109seed_both,109,0.14,9999,1.0,1.0
109,BasicModelSmall_256dim_0.15ts_110seed_both,110,0.15,9999,1.0,1.0
110,BasicModelSmall_256dim_0.16ts_111seed_both,111,0.16,9999,0.9999999403953552,1.0
111,BasicModelSmall_256dim_0.17ts_112seed_both,112,0.17,9999,1.0,1.0
112,BasicModelSmall_256dim_0.18ts_113seed_both,113,0.18,9999,0.9999999403953552,1.0
113,BasicModelSmall_256dim_0.19ts_114seed_both,114,0.19,9999,1.0,1.0
114,BasicModelSmall_256dim_0.2ts_115seed_both,115,0.2,9999,1.0,1.0
115,BasicModelSmall_256dim_0.21ts_116seed_both,116,0.21,9999,1.0,1.0
116,BasicModelSmall_256dim_0.22ts_117seed_both,117,0.22,9999,1.0,1.0
117,BasicModelSmall_256dim_0.23ts_118seed_both,118,0.23,9999,1.0,1.0
118,BasicModelSmall_256dim_0.24ts_119seed_both,119,0.24,9999,1.0,1.0
119,BasicModelSmall_256dim_0.25ts_120seed_both,120,0.25,9999,1.0,1.0
120,BasicModelSmall_256dim_0.26ts_121seed_both,121,0.26,9999,1.0,1.0
121,BasicModelSmall_256dim_0.27ts_122seed_both,122,0.27,9999,1.0,1.0
122,BasicModelSmall_256dim_0.28ts_123seed_both,123,0.28,9999,1.0,0.9999999403953552
123,BasicModelSmall_256dim_0.29ts_124seed_both,124,0.29,9999,0.9999999403953552,0.9999999403953552
124,BasicModelSmall_256dim_0.3ts_125seed_both,125,0.3,9999,1.0,1.0
125,BasicModelSmall_256dim_0.31ts_126seed_both,126,0.31,9999,1.0,1.0
126,BasicModelSmall_256dim_0.32ts_127seed_both,127,0.32,9999,1.0,0.9999999403953552
127,BasicModelSmall_256dim_0.33ts_128seed_both,128,0.33,9999,1.0,1.0
128,BasicModelSmall_256dim_0.34ts_129seed_both,129,0.34,9999,1.0,1.0
129,BasicModelSmall_256dim_0.35ts_130seed_both,130,0.35,9999,1.0,1.0
130,BasicModelSmall_256dim_0.36ts_131seed_both,131,0.36,9999,1.0,1.0
131,BasicModelSmall_256dim_0.37ts_132seed_both,132,0.37,9999,1.0,1.0
132,BasicModelSmall_256dim_0.38ts_133seed_both,133,0.38,9999,1.0,1.0
133,BasicModelSmall_256dim_0.39ts_134seed_both,134,0.39,9999,1.0,1.0
134,BasicModelSmall_256dim_0.4ts_135seed_both,135,0.4,9999,1.0,1.0
135,BasicModelSmall_256dim_0.41ts_136seed_both,136,0.41,9999,1.0,1.0
136,BasicModelSmall_256dim_0.42ts_137seed_both,137,0.42,9999,1.0,1.0
137,BasicModelSmall_256dim_0.43ts_138seed_both,138,0.43,9999,1.0,1.0
138,BasicModelSmall_256dim_0.44ts_139seed_both,139,0.44,9999,1.0,1.0
139,BasicModelSmall_256dim_0.45ts_140seed_both,140,0.45,9999,1.0,1.0
