,title,seed,test_size,train_amb_acc,train_apb_acc,test_amb_acc,test_apb_acc,epochs
46,BasicModelSmall_256dim_0.75ts_47seed_both,47,0.75,1.0,1.0,0.9644043445587158,0.9663028120994568,9999
47,BasicModelSmall_256dim_0.75ts_48seed_both,48,0.75,1.0,1.0,0.9401993155479431,0.9383009076118469,9999
48,BasicModelSmall_256dim_0.76ts_49seed_both,49,0.76,1.0,1.0,0.9751756191253662,0.9836065173149109,9999
49,BasicModelSmall_256dim_0.76ts_50seed_both,50,0.76,1.0,1.0,0.9686182737350464,0.956440269947052,9999
50,BasicModelSmall_256dim_0.76ts_51seed_both,51,0.76,1.0,1.0,0.9419203400611877,0.9283372163772583,9999
51,BasicModelSmall_256dim_0.77ts_52seed_both,52,0.77,1.0,1.0,0.9047618508338928,0.9001386761665344,9999
52,BasicModelSmall_256dim_0.77ts_53seed_both,53,0.77,1.0,1.0,0.9533055424690247,0.9565418362617493,9999
53,BasicModelSmall_256dim_0.77ts_54seed_both,54,0.77,1.0,1.0,0.9662505388259888,0.9583910703659058,9999
54,BasicModelSmall_256dim_0.78ts_55seed_both,55,0.78,1.0,1.0,0.9101277589797974,0.908302903175354,9999
55,BasicModelSmall_256dim_0.78ts_56seed_both,56,0.78,1.0,1.0,0.9397810101509094,0.9256386756896973,9999
56,BasicModelSmall_256dim_0.78ts_57seed_both,57,0.78,1.0,1.0,0.9479926824569702,0.9603102207183838,9999
57,BasicModelSmall_256dim_0.79ts_58seed_both,58,0.79,1.0,1.0,0.8882883191108704,0.8959459662437439,9999
58,BasicModelSmall_256dim_0.79ts_59seed_both,59,0.79,1.0,1.0,0.9175676107406616,0.916216254234314,9999
59,BasicModelSmall_256dim_0.79ts_60seed_both,60,0.79,1.0,1.0,0.8828828930854797,0.8959459662437439,9999
60,BasicModelSmall_256dim_0.8ts_61seed_both,61,0.8,1.0,1.0,0.855871856212616,0.8896797299385071,9999
61,BasicModelSmall_256dim_0.8ts_62seed_both,62,0.8,1.0,1.0,0.8678825497627258,0.8967971205711365,9999
62,BasicModelSmall_256dim_0.8ts_63seed_both,63,0.8,1.0,1.0,0.8665480613708496,0.8474199175834656,9999
63,BasicModelSmall_256dim_0.81ts_64seed_both,64,0.81,1.0,1.0,0.8506151437759399,0.9261863231658936,9999
64,BasicModelSmall_256dim_0.81ts_65seed_both,65,0.81,1.0,1.0,0.8189806938171387,0.8466607928276062,9999
65,BasicModelSmall_256dim_0.81ts_66seed_both,66,0.81,1.0,1.0,0.7996485233306885,0.8066784143447876,9999
66,BasicModelSmall_256dim_0.82ts_67seed_both,67,0.82,1.0,1.0,0.8532986044883728,0.866319477558136,9999
67,BasicModelSmall_256dim_0.82ts_68seed_both,68,0.82,1.0,1.0,0.7478298544883728,0.8333333134651184,9999
68,BasicModelSmall_256dim_0.82ts_69seed_both,69,0.82,1.0,1.0,0.6736111044883728,0.6657986044883728,9999
69,BasicModelSmall_256dim_0.83ts_70seed_both,70,0.83,0.9999999403953552,0.9999999403953552,0.5909091234207153,0.5930531620979309,9999
70,BasicModelSmall_256dim_0.83ts_71seed_both,71,0.83,0.9999999403953552,0.9999999403953552,0.6453688144683838,0.7054030895233154,9999
71,BasicModelSmall_256dim_0.83ts_72seed_both,72,0.83,0.9999999403953552,0.9999999403953552,0.7225557565689087,0.6856775283813477,9999
72,BasicModelSmall_256dim_0.84ts_73seed_both,73,0.84,1.0,1.0,0.6584745645523071,0.6792373061180115,9999
73,BasicModelSmall_256dim_0.84ts_74seed_both,74,0.84,1.0,1.0,0.2110169529914856,0.2029660940170288,9999
74,BasicModelSmall_256dim_0.84ts_75seed_both,75,0.84,1.0,1.0,0.3139830529689789,0.3182203471660614,9999
75,BasicModelSmall_256dim_0.85ts_76seed_both,76,0.85,1.0,1.0,0.006700167432427406,0.004606365226209164,9999
76,BasicModelSmall_256dim_0.85ts_77seed_both,77,0.85,1.0,1.0,0.34924623370170593,0.36515912413597107,9999
77,BasicModelSmall_256dim_0.85ts_78seed_both,78,0.85,1.0,1.0,0.0016750418581068516,0.0008375209290534258,9999
78,BasicModelSmall_256dim_0.86ts_79seed_both,79,0.86,1.0,1.0,0.0004139072843827307,0.0008278145687654614,9999
79,BasicModelSmall_256dim_0.86ts_80seed_both,80,0.86,1.0,1.0,0.001241721911355853,0.0008278145687654614,9999
