,title,seed,test_size,epochs,test_apb_acc,test_amb_acc,test_acc,train_acc
53,BasicModelSmall_256dim_0.68ts_54seed_both,54,0.68,19999,0.9984025359153748,0.9893503785133362,0.9938764572143555,1.0
54,BasicModelSmall_256dim_0.68ts_55seed_both,55,0.68,19999,0.9718456864356995,0.974452555179596,0.9731491208076477,1.0
55,BasicModelSmall_256dim_0.68ts_56seed_both,56,0.68,19999,0.9963369965553284,0.9952903985977173,0.9958137273788452,1.0
56,BasicModelSmall_256dim_0.69ts_57seed_both,57,0.69,19999,0.99158775806427,0.9968453645706177,0.9942165613174438,1.0
57,BasicModelSmall_256dim_0.69ts_58seed_both,58,0.69,19999,0.990165650844574,0.9917184710502625,0.9909420609474182,1.0
58,BasicModelSmall_256dim_0.69ts_59seed_both,59,0.69,19999,0.9906542301177979,0.99325031042099,0.9919523000717163,1.0
59,BasicModelSmall_256dim_0.69ts_60seed_both,60,0.69,19999,0.9349262714385986,0.9654295444488525,0.9501779079437256,1.0
60,BasicModelSmall_256dim_0.69ts_61seed_both,61,0.69,19999,0.9895451664924622,0.999477207660675,0.9945111870765686,1.0
61,BasicModelSmall_256dim_0.7ts_62seed_both,62,0.7,19999,0.9813696146011353,0.981873095035553,0.9816213250160217,1.0
62,BasicModelSmall_256dim_0.7ts_63seed_both,63,0.7,19999,0.9884189367294312,0.9833836555480957,0.9859012961387634,1.0
63,BasicModelSmall_256dim_0.7ts_64seed_both,64,0.7,19999,0.9858942031860352,0.9858942031860352,0.9858942031860352,1.0
64,BasicModelSmall_256dim_0.7ts_65seed_both,65,0.7,19999,0.987354576587677,0.9898836612701416,0.9886190891265869,1.0
65,BasicModelSmall_256dim_0.7ts_66seed_both,66,0.7,19999,0.9974358677864075,0.9928205013275146,0.9951281547546387,1.0
66,BasicModelSmall_256dim_0.71ts_67seed_both,67,0.71,19999,0.984468936920166,0.9869739413261414,0.9857214689254761,1.0
