,title,seed,test_size,epochs,test_apb_acc,test_amb_acc,test_atb_acc,test_acc,train_acc
37,BasicModelSmallMult_256dim_0.65ts_38seed_mult,38,0.65,9999,0.925162672996521,0.9439560770988464,0.2935323417186737,0.7226383686065674,1.0
38,BasicModelSmallMult_256dim_0.65ts_39seed_mult,39,0.65,9999,0.9194414615631104,0.9232818484306335,0.2425249218940735,0.7002705335617065,0.9999999403953552
39,BasicModelSmallMult_256dim_0.7ts_40seed_mult,40,0.7,9999,0.7155000567436218,0.7175807356834412,0.09606540203094482,0.5110020041465759,1.0
40,BasicModelSmallMult_256dim_0.7ts_41seed_mult,41,0.7,9999,0.6573320031166077,0.6400609612464905,0.06862745434045792,0.4571477174758911,1.0
41,BasicModelSmallMult_256dim_0.7ts_42seed_mult,42,0.7,9999,0.8280773162841797,0.8533469438552856,0.04400000348687172,0.5716697573661804,1.0
42,BasicModelSmallMult_256dim_0.75ts_43seed_mult,43,0.75,9999,0.546875,0.5634135007858276,0.03668413311243057,0.38329121470451355,1.0
43,BasicModelSmallMult_256dim_0.75ts_44seed_mult,44,0.75,9999,0.5888204574584961,0.6133525371551514,0.038090646266937256,0.41471198201179504,1.0
44,BasicModelSmallMult_256dim_0.75ts_45seed_mult,45,0.75,9999,0.6224007606506348,0.6307033896446228,0.0346958190202713,0.42963314056396484,1.0
45,BasicModelSmallMult_256dim_0.8ts_46seed_mult,46,0.8,9999,0.15737850964069366,0.13022437691688538,0.04050978645682335,0.1099359467625618,1.0
46,BasicModelSmallMult_256dim_0.8ts_47seed_mult,47,0.8,9999,0.28684908151626587,0.28853046894073486,0.03496190160512924,0.20389358699321747,1.0
47,BasicModelSmallMult_256dim_0.8ts_48seed_mult,48,0.8,9999,0.46633973717689514,0.45154085755348206,0.03140203654766083,0.31558653712272644,1.0
48,BasicModelSmallMult_256dim_0.85ts_49seed_mult,49,0.85,9999,0.0008428149740211666,0.0,0.03153527155518532,0.010904516093432903,1.0
49,BasicModelSmallMult_256dim_0.85ts_50seed_mult,50,0.85,9999,0.0,0.00041476564365439117,0.030730895698070526,0.010403661988675594,1.0
50,BasicModelSmallMult_256dim_0.85ts_51seed_mult,51,0.85,9999,0.0,0.0,0.034047920256853104,0.011298646219074726,1.0
51,BasicModelSmallMult_256dim_0.9ts_52seed_mult,52,0.9,9999,0.0007843137136660516,0.0015860428102314472,0.025570416823029518,0.009324927814304829,1.0
52,BasicModelSmallMult_256dim_0.9ts_53seed_mult,53,0.9,9999,0.00039777247002348304,0.00039588281651958823,0.03037569858133793,0.010342083871364594,1.0
53,BasicModelSmallMult_256dim_0.9ts_54seed_mult,54,0.9,9999,0.001583531266078353,0.0015891934745013714,0.029564522206783295,0.010866683907806873,1.0
54,BasicModelSmallMult_256dim_0.95ts_55seed_mult,55,0.95,9999,0.004089219495654106,0.003732736222445965,0.030993279069662094,0.012924070470035076,1.0
55,BasicModelSmallMult_256dim_0.95ts_56seed_mult,56,0.95,9999,0.00411676662042737,0.002994012087583542,0.0266516525298357,0.011238761246204376,1.0
56,BasicModelSmallMult_256dim_0.95ts_57seed_mult,57,0.95,9999,0.004894577898085117,0.0029906542040407658,0.023229673504829407,0.010375000536441803,0.9999999403953552
