,title,seed,test_size,train_acc,test_acc,epochs
65,BasicModelSmall_256dim_0.81ts_66seed_only,66,0.81,1.0,0.002196836518123746,9999
66,BasicModelSmall_256dim_0.82ts_67seed_only,67,0.82,1.0,0.0,9999
67,BasicModelSmall_256dim_0.82ts_68seed_only,68,0.82,1.0,0.0004340277810115367,9999
68,BasicModelSmall_256dim_0.82ts_69seed_only,69,0.82,1.0,0.0,9999
69,BasicModelSmall_256dim_0.83ts_70seed_only,70,0.83,0.9999999403953552,0.00042881647823378444,9999
70,BasicModelSmall_256dim_0.83ts_71seed_only,71,0.83,0.9999999403953552,0.0,9999
71,BasicModelSmall_256dim_0.83ts_72seed_only,72,0.83,0.9999999403953552,0.0,9999
72,BasicModelSmall_256dim_0.84ts_73seed_only,73,0.84,1.0,0.0,9999
73,BasicModelSmall_256dim_0.84ts_74seed_only,74,0.84,1.0,0.0,9999
74,BasicModelSmall_256dim_0.84ts_75seed_only,75,0.84,1.0,0.0,9999
75,BasicModelSmall_256dim_0.85ts_76seed_only,76,0.85,1.0,0.0004187604645267129,9999
76,BasicModelSmall_256dim_0.85ts_77seed_only,77,0.85,1.0,0.0,9999
77,BasicModelSmall_256dim_0.85ts_78seed_only,78,0.85,1.0,0.0,9999
78,BasicModelSmall_256dim_0.86ts_79seed_only,79,0.86,1.0,0.0004139072843827307,9999
