n,z,excess
31,19,-25727.848
30,20,-39589.224
29,21,-44547.382
28,22,-51431.660
27,23,-49224.013
26,24,-50262.072
25,25,-42627.595
24,26,-34476.456
32,19,-22516.196
31,20,-36332.304
30,21,-43228.684
29,22,-49732.837
28,23,-52203.842
27,24,-51451.395
26,25,-48243.877
25,26,-40202.555
24,27,-27342.143
33,19,-17137.627
32,20,-34266.266
31,21,-40443.279
30,22,-49469.820
29,23,-51443.769
28,24,-55419.242
27,25,-50707.284
26,26,-48330.363
25,27,-34360.951
34,19,-12295.721
33,20,-29387.704
32,21,-38906.808
31,22,-46831.061
30,23,-51851.061
29,24,-55286.999
28,25,-54690.116
27,26,-50947.530
26,27,-42659.428
25,28,-29630.824
34,20,-25160.585
33,21,-33890.900
32,22,-45621.981
31,23,-49893.173
30,24,-56934.765
29,25,-55557.629
28,26,-56254.500
27,27,-48009.953
26,28,-39278.308
34,21,-30159.352
33,22,-41668.088
32,23,-49144.586
31,24,-55109.710
30,25,-57712.413
29,26,-57481.300
28,27,-54029.883
27,28,-45335.849
26,29,-31635.399
35,21,-24852.260
34,22,-39320.048
33,23,-46154.881
32,24,-55285.001
31,25,-56911.538
30,26,-60607.082
29,27,-56040.402
28,28,-53907.539
27,29,-38643.029
36,21,-20995.875
35,22,-33915.633
34,23,-44413.450
33,24,-52524.702
32,25,-57486.251
31,26,-60181.839
30,27,-59345.564
29,28,-56083.833
28,29,-47308.886
35,23,-40401.753
34,24,-51991.801
33,25,-55827.560
32,26,-62155.113
31,27,-59847.158
30,28,-60228.744
29,29,-51667.725
28,30,-42298.744
36,23,-37832.015
35,24,-48085.760
34,25,-55525.320
33,26,-60664.805
32,27,-62229.709
31,28,-61156.707
30,29,-56358.327
29,30,-47215.551
37,23,-33241.956
36,24,-46669.576
35,25,-52967.938
34,26,-61413.017
33,27,-61650.309
32,28,-64473.118
31,29,-58345.137
30,30,-54174.340
38,23,-30506.429
37,24,-42475.229
36,25,-51742.122
35,26,-58920.494
34,27,-62898.066
33,28,-64221.905
32,29,-61984.059
31,30,-56348.903
30,31,-47134.659
38,24,-40894.961
37,25,-48523.957
36,26,-58878.048
35,27,-61424.282
34,28,-66746.323
33,29,-62787.426
32,30,-61167.972
31,31,-51986.906
39,24,-36007.474
38,25,-46887.053
37,26,-55635.621
36,27,-61851.440
35,28,-65512.775
34,29,-65579.752
33,30,-62213.397
32,31,-56547.093
31,32,-46921.216
40,24,-33479.757
39,25,-42989.035
38,26,-54969.544
