n,z,excess
81,65,-67763.610
80,66,-62554.918
79,67,-51238.219
78,68,-44322.012
92,55,-51920.064
91,56,-60264.029
90,57,-66678.390
89,58,-72013.891
88,59,-75444.067
87,60,-78146.748
86,61,-79042.260
85,62,-79266.354
84,63,-77544.756
83,64,-75356.945
82,65,-70742.665
81,66,-64196.038
80,67,-55757.092
79,68,-46607.807
78,69,-35974.400
93,55,-46910.942
92,56,-57593.735
91,57,-62708.735
90,58,-70398.408
89,59,-72535.424
88,60,-77407.996
87,61,-76865.716
86,62,-79336.264
85,63,-76299.331
84,64,-76269.329
83,65,-70537.082
82,66,-67859.550
81,67,-57991.158
80,68,-51478.989
79,69,-38765.027
93,56,-53120.309
92,57,-60219.913
91,58,-66669.913
90,59,-71039.366
89,60,-74375.466
88,61,-76064.256
87,62,-77135.737
86,63,-76441.112
85,64,-75127.011
84,65,-71488.669
83,66,-67695.909
82,67,-61646.578
81,68,-53741.615
93,57,-56129.966
92,58,-64846.854
91,59,-68300.479
90,60,-73679.755
89,61,-73597.139
88,62,-77051.139
87,63,-74792.234
86,64,-75763.934
85,65,-71105.721
84,66,-69309.600
83,67,-61945.881
82,68,-57831.313
94,57,-53310.333
93,58,-61225.052
92,59,-66779.630
91,60,-70942.988
90,61,-73386.063
89,62,-74576.279
88,63,-74652.854
87,64,-74188.737
86,65,-71623.504
85,66,-68752.405
84,67,-63622.738
83,68,-58266.284
82,69,-50772.756
81,70,-41542.342
93,59,-63758.063
92,60,-70149.407
91,61,-71254.186
90,62,-74762.603
89,63,-72888.255
88,64,-74706.916
87,65,-70716.916
86,66,-70117.873
85,67,-63604.771
84,68,-60500.377
83,69,-51720.273
82,70,-46270.381
94,59,-61568.463
93,60,-67330.297
92,61,-70647.824
91,62,-72559.686
90,63,-73367.222
89,64,-72882.551
88,65,-71313.338
87,66,-69142.943
86,67,-65012.103
85,68,-60468.604
84,69,-53973.329
82,71,-38372.844
95,59,-58104.976
94,60,-65824.976
93,61,-68511.976
92,62,-72455.176
91,63,-71738.121
90,64,-73705.954
89,65,-70156.303
88,66,-70393.907
87,67,-64639.311
86,68,-62605.020
85,69,-54427.131
84,70,-49932.083
96,59,-55415.268
95,60,-62283.724
94,61,-66939.931
93,62,-70190.819
92,63,-71818.092
91,64,-72069.880
90,65,-71250.050
89,66,-69155.550
88,67,-66039.539
87,68,-62209.189
86,69,-56625.913
85,70,-50502.608
84,71,-42545.047
96,60,-60473.644
95,61,-64163.644
94,62,-69360.430
93,63,-70082.548
92,64,-72534.914
91,65,-70090.797
90,66,-70528.964
89,67,-65478.964
88,68,-64211.709
87,69,-56834.550
86,70,-53265.721
85,71,-43699.544
84,72,-37816.896
97,60,-56461.543
96,61,-62297.043
95,62,-66677.577
94,63,-69458.908
93,64,-70823.473
92,65,-70763.430
91,66,-69424.558
90,67,-66832.832
89,68,-63413.639
88,69,-58709.273
87,70,-53421.898
86,71,-46440.523
84,73,-29593.330
97,61,-59089.209
96,62,-65250.243
95,63,-67255.188
94,64,-70689.546
93,65,-69470.668
92,66,-70407.349
91,67,-66187.593
90,68,-65303.808
89,69,-58703.194
88,70,-56010.237
87,71,-47212.190
86,72,-42102.390
98,61,-56554.280
97,62,-62207.775
96,63,-66043.285
95,64,-68561.436
94,65,-69532.363
93,66,-69167.134
92,67,-67329.534
91,68,-64561.034
90,69,-60570.398
89,70,-55838.606
88,71,-49708.604
87,72,-42852.600
86,73,-34439.148
98,62,-60234.793
97,63,-63480.463
96,64,-67941.741
95,65,-67836.257
94,66,-69672.730
93,67,-66382.730
92,68,-66064.228
91,69,-60302.028
90,70,-58162.706
89,71,-50269.937
88,72,-45938.943
87,73,-35823.695
86,74,-29326.455
99,62,-56671.962
98,63,-61791.524
97,64,-65505.824
96,65,-67461.589
95,66,-68055.801
94,67,-67197.270
93,68,-65201.608
92,69,-61898.708
91,70,-57839.400
90,71,-52562.344
89,72,-46314.672
88,73,-38778.997
86,75,-20840.203
99,63,-58703.401
98,64,-64280.401
97,65,-65675.958
96,66,-68181.478
95,67,-66041.541
94,68,-66334.519
93,69,-61477.791
92,70,-59826.347
91,71,-52831.753
90,72,-49169.008
89,73,-39780.194
88,74,-33999.207
100,63,-56484.886
99,64,-61313.886
98,65,-64596.071
97,66,-66381.170
96,67,-66378.335
95,68,-65167.723
94,69,-62728.723
93,70,-59299.094
92,71,-54791.409
91,72,-49263.682
90,73,-42534.629
89,74,-34908.193
88,75,-26002.244
99,65,-62077.965
98,66,-65967.965
97,67,-64981.503
96,68,-65942.890
95,69,-61904.035
94,70,-61017.418
93,71,-54642.370
92,72,-51818.505
91,73,-43282.800
90,74,-38235.759
89,75,-27472.436
88,76,-20422.106
99,66,-63612.606
98,67,-64899.006
97,68,-64521.610
96,69,-62929.621
95,70,-60295.382
94,71,-56442.242
93,72,-51635.507
92,73,-45847.853
91,74,-38861.022
90,75,-30659.776
101,65,-57884.789
100,66,-62584.789
99,67,-63071.329
98,68,-64926.042
97,69,-61888.375
96,70,-61595.740
95,71,-56020.981
94,72,-53858.983
93,73,-46097.775
92,74,-41888.031
91,75,-31893.478
90,76,-25431.517
101,66,-59930.626
100,67,-62280.626
99,68,-63291.180
98,69,-62543.641
97,70,-60590.576
96,71,-57501.125
95,72,-53467.756
94,73,-48351.059
93,74,-42098.058
91,76,-26501.993
90,77,-17072.440
102,66,-58559.566
101,67,-60061.171
100,68,-62991.171
99,69,-61312.921
98,70,-61581.901
97,71,-57067.850
96,72,-55360.552
95,73,-48393.908
94,74,-44893.109
93,75,-35794.885
92,76,-29995.213
91,77,-18666.226
90,78,-11007.460
103,66,-55597.177
102,67,-58797.177
101,68,-60923.104
100,69,-61275.212
99,70,-60377.563
98,71,-58084.563
97,72,-54716.889
96,73,-50290.430
95,74,-44917.873
94,75,-38409.232
93,76,-30722.691
92,77,-22093.839
103,67,-56238.681
102,68,-60108.681
101,69,-59795.853
100,70,-60763.919
99,71,-57306.224
98,72,-56253.854
97,73,-50137.665
96,74,-47290.832
95,75,-38913.193
94,76,-33926.247
92,78,-16299.193
104,67,-54518.956
103,68,-57718.956
102,69,-59210.298
101,70,-59306.810
100,71,-57828.395
99,72,-55431.345
98,73,-51720.273
97,74,-47086.090
96,75,-41250.280
95,76,-34301.942
94,77,-26412.025
93,78,-17469.702
92,79,-7562.295
104,68,-56483.612
103,69,-57374.379
102,70,-59255.446
101,71,-56735.980
100,72,-56402.226
99,73,-51329.977
98,74,-49097.186
97,75,-41537.106
96,76,-37243.842
95,77,-27379.369
94,78,-21106.920
93,79,-9318.006
92,80,-1058.744
104,69,-56256.059
103,70,-57551.225
102,71,-56880.916
101,72,-55411.784
100,73,-52396.538
99,74,-48727.383
98,75,-43553.865
97,76,-37438.257
96,77,-30268.435
95,78,-21942.911
94,79,-12832.440
105,69,-53864.512
104,70,-56944.512
103,71,-55570.195
102,72,-55844.481
101,73,-51740.766
100,74,-50227.088
99,75,-43673.096
98,76,-39995.416
97,77,-30863.492
96,78,-25318.163
94,80,-6641.009
106,69,-52310.549
105,70,-54695.549
104,71,-55165.582
103,72,-54481.662
102,73,-52408.647
101,74,-49632.795
100,75,-45288.307
99,76,-40105.376
98,77,-33394.506
97,78,-25713.466
96,79,-17403.955
95,80,-7972.576
107,69,-49371.314
106,70,-53491.314
105,71,-53382.236
104,72,-54576.321
103,73,-51365.374
102,74,-50641.603
101,75,-45062.885
100,76,-42097.940
99,77,-33878.326
98,78,-28933.867
97,79,-18520.963
96,80,-11784.950
95,81,581.594
107,70,-50986.397
106,71,-52383.806
105,72,-52880.616
104,73,-51714.616
103,74,-49701.726
102,75,-46269.170
101,76,-41956.462
100,77,-36047.421
99,78,-29370.444
98,79,-21545.103
97,80,-12782.542
96,81,-3340.526
108,70,-49695.475
107,71,-50337.784
106,72,-52435.236
104,74,-50406.936
103,75,-45653.453
102,76,-43544.270
101,77,-36251.884
100,78,-31997.519
99,79,-22303.743
98,80,-16315.901
96,82,3574.294
108,71,-49058.918
107,72,-50462.907
106,73,-50357.323
105,74,-49295.127
104,75,-46584.280
103,76,-43019.495
102,77,-38081.714
101,78,-32268.145
100,79,-24988.567
99,80,-16928.134
98,81,-8268.495
97,82,2050.639
109,71,-46676.348
108,72,-49779.348
107,73,-48932.877
106,74,-49636.115
105,75,-45837.359
104,76,-44357.810
103,77,-37977.526
102,78,-34435.877
101,79,-25625.509
100,80,-20250.447
99,81,-9386.647
98,82,-1941.380
110,71,-44797.410
109,72,-47402.831
108,73,-48438.311
107,74,-48233.818
106,75,-46517.391
105,76,-43549.963
104,77,-39463.028
103,78,-34381.511
102,79,-27871.136
101,80,-20661.136
100,81,-12798.735
99,82,-3117.350
110,72,-46049.508
109,73,-46429.934
108,74,-48246.060
107,75,-45446.060
106,76,-44609.104
105,77,-39051.679
104,78,-36168.449
103,79,-28300.768
102,80,-23576.922
101,81,-13327.927
100,82,-6825.112
112,71,-39716.110
111,72,-43282.796
110,73,-45292.796
109,74,-46365.580
108,75,-45809.580
107,76,-43664.043
106,77,-40203.311
105,78,-35772.487
104,79,-30191.483
103,80,-23804.674
102,81,-16587.257
101,82,-7575.218
112,72,-41499.373
111,73,-42839.373
110,74,-45705.373
109,75,-44219.634
108,76,-44252.533
107,77,-39610.851
106,78,-37334.243
105,79,-30318.710
104,80,-26348.965
103,81,-16883.242
102,82,-11051.522
101,83,1063.068
113,72,-38319.800
112,73,-41394.293
111,74,-43387.793
110,75,-43819.027
109,76,-42805.880
108,77,-40335.553
107,78,-36688.140
106,79,-31858.143
105,80,-26183.666
104,81,-19757.741
103,82,-11541.220
114,72,-36424.210
113,73,-38607.528
112,74,-42508.528
111,75,-41927.086
110,76,-42999.943
109,77,-39172.346
108,78,-37864.443
107,79,-31714.852
106,80,-28539.097
105,81,-19886.613
104,82,-14682.026
103,83,-3146.212
102,84,4100.974
114,73,-36895.546
113,74,-39903.970
112,75,-41216.478
111,76,-41218.945
110,77,-39549.372
109,78,-36685.050
108,79,-33027.838
107,80,-28117.930
106,81,-22444.587
105,82,-14986.959
104,83,-6383.271
103,84,2828.597
115,73,-33612.030
114,74,-38667.811
113,75,-39016.811
112,76,-41137.233
111,77,-38344.907
110,78,-37820.929
109,79,-32371.308
108,80,-30201.914
107,81,-22336.400
106,82,-17815.202
105,83,-7194.687
104,84,-544.313
115,74,-35617.536
114,75,-37979.043
113,76,-38986.745
112,77,-38449.586
111,78,-36469.348
110,79,-33581.955
109,80,-29626.401
108,81,-24616.100
107,82,-17844.035
106,83,-10064.660
105,84,-1422.005
116,74,-34382.313
115,75,-35635.830
114,76,-38707.771
113,77,-36753.544
112,78,-37306.450
111,79,-32833.533
110,80,-31370.697
109,81,-24372.027
108,82,-20416.645
107,83,-10599.579
106,84,-4563.837
117,74,-31176.173
116,75,-34350.296
115,76,-36395.185
114,77,-36708.756
113,78,-35698.237
112,79,-33797.904
111,80,-30591.896
110,81,-26282.945
109,82,-20231.118
108,83,-13239.347
107,84,-5068.735
106,85,3863.917
117,75,-31588.825
116,76,-35882.191
115,77,-34835.561
114,78,-36288.457
113,79,-32772.116
112,80,-32011.553
111,81,-25872.246
110,82,-22556.020
109,83,-13534.535
108,84,-8070.661
107,85,2925.854
118,75,-30231.638
117,76,-33394.289
116,77,-34536.235
115,78,-34479.608
114,79,-33404.821
113,80,-31062.179
112,81,-27477.212
111,82,-22194.490
110,83,-15884.559
109,84,-8325.318
108,85,-67.320
107,86,9042.911
118,76,-32435.108
117,77,-32531.708
116,78,-34760.070
115,79,-32211.936
114,80,-32183.945
113,81,-26937.491
112,82,-24207.940
111,83,-16028.811
110,84,-11004.655
109,85,-720.163
108,86,5723.495
119,76,-29511.593
118,77,-31692.251
117,78,-32793.849
116,79,-32567.031
115,80,-31013.393
114,81,-28155.248
113,82,-23707.693
112,83,-18025.561
111,84,-11056.259
110,85,-3470.295
109,86,5050.281
120,76,-28277.105
119,77,-29435.493
118,78,-32644.510
117,79,-31138.706
116,80,-31825.941
115,81,-27496.592
114,82,-25348.312
113,83,-18009.031
112,84,-13473.042
111,85,-3914.677
110,86,1970.991
120,77,-28264.105
119,78,-30419.750
118,79,-31139.738
117,80,-30540.229
116,81,-28341.649
115,82,-24745.401
114,83,-19687.191
113,84,-13357.990
112,85,-6355.250
111,86,1510.353
110,87,10253.971
120,78,-29903.999
119,79,-29580.781
118,80,-30954.310
117,81,-27528.746
116,82,-26067.489
115,83,-19369.486
114,84,-15473.352
113,85,-6714.513
112,86,-1230.358
111,87,9574.024
122,77,-24398.515
121,78,-27388.682
120,79,-29093.741
119,80,-29546.068
118,81,-28059.394
117,82,-25231.804
116,83,-20797.566
115,84,-15208.483
114,85,-8823.372
113,86,-1499.451
112,87,6771.393
122,78,-26599.160
121,79,-27240.092
120,80,-29503.270
119,81,-27047.230
118,82,-26251.054
117,83,-20370.755
116,84,-16941.761
115,85,-8987.892
114,86,-4004.765
113,87,6132.498
123,78,-23740.714
122,79,-26400.714
121,80,-27662.542
120,81,-27180.838
119,82,-25271.036
118,83,-21416.433
117,84,-16521.185
116,85,-10789.438
115,86,-4072.324
114,87,3588.577
113,88,11936.801
124,78,-22692.125
123,79,-24352.979
122,80,-27345.324
121,81,-25980.216
120,82,-25940.614
119,83,-20741.484
118,84,-17941.616
117,85,-10590.732
116,86,-6274.635
115,87,3096.237
114,88,9074.861
124,79,-23143.436
123,80,-25269.265
122,81,-25761.377
121,82,-24786.557
120,83,-21524.827
119,84,-17310.889
118,85,-12162.557
117,86,-6153.699
116,87,876.417
115,88,8661.726
124,80,-24690.145
123,81,-24346.145
122,82,-25109.892
121,83,-20645.896
120,84,-18341.244
119,85,-11875.433
118,86,-7970.193
117,87,607.310
116,88,6056.787
125,80,-22287.740
124,81,-23820.874
123,82,-23770.239
122,83,-21064.504
121,84,-17521.398
120,85,-12971.946
119,86,-7709.786
118,87,-1309.813
117,88,5838.991
116,89,14106.693
126,80,-20945.801
125,81,-22253.367
124,82,-23785.584
123,83,-20028.278
122,84,-18188.674
121,85,-12429.718
120,86,-9132.965
119,87,-1242.416
118,88,3565.539
117,89,13479.452
127,80,-16487.444
126,81,-21034.451
125,82,-22452.047
124,83,-20054.627
123,84,-17145.775
122,85,-13227.416
121,86,-8634.762
120,87,-2844.341
119,88,3544.485
118,89,11146.233
128,80,-13265.406
127,81,-16750.132
126,82,-21748.598
125,83,-18870.223
124,84,-17469.596
123,85,-12469.871
122,86,-9655.591
121,87,-2665.919
120,88,1727.856
119,89,10753.235
118,90,16683.730
128,81,-13644.757
127,82,-17614.646
126,83,-18258.662
125,84,-16366.092
124,85,-12882.613
123,86,-8941.049
122,87,-3769.572
121,88,1858.219
120,89,8843.809
129,81,-9246.969
128,82,-14728.502
127,83,-14791.979
126,84,-15953.137
125,85,-11972.177
124,86,-9604.770
123,87,-3333.205
122,88,442.792
121,89,8789.699
120,90,14059.446
130,81,-6077.998
129,82,-10492.948
128,83,-11859.131
127,84,-12432.571
126,85,-11647.264
125,86,-8755.404
124,87,-4140.249
123,88,832.023
122,89,7202.214
121,90,13910.171
130,82,-7548.850
129,83,-8117.954
128,84,-10369.487
127,85,-8628.221
126,86,-8659.608
125,87,-3515.968
124,88,-198.968
123,89,7277.298
122,90,12110.808
121,91,21593.358
132,81,1783.811
131,82,-3203.532
130,83,-5231.635
129,84,-6653.584
128,85,-6579.595
127,86,-5696.026
126,87,-3552.848
125,88,345.557
124,89,6154.692
123,90,12120.086
122,91,19662.625
132,82,-182.769
131,83,-1200.753
130,84,-4470.046
129,85,-3379.831
128,86,-4319.742
127,87,-958.707
126,88,92.734
125,89,6443.854
124,90,10694.885
123,91,19485.515
133,82,4342.244
132,83,1629.322
131,84,-541.706
130,85,-1255.756
129,86,-1168.561
128,87,318.065
127,88,2533.739
126,89,6030.615
125,90,10921.586
124,91,17863.939
123,92,24923.087
133,83,5873.991
132,84,1782.420
131,85,2256.666
130,86,252.868
129,87,2970.950
128,88,3291.077
127,89,8144.395
126,90,10298.332
125,91,17799.214
124,92,23066.351
134,83,8729.962
133,84,5883.518
132,85,4394.635
131,86,3658.501
130,87,4314.590
129,88,5889.656
128,89,8703.673
127,90,12205.780
126,91,17068.410
135,83,13216.037
134,84,8356.901
133,85,8098.162
132,86,5217.347
131,87,7059.117
130,88,6651.170
129,89,10843.609
128,90,12366.741
127,91,18683.770
126,92,21894.608
135,84,12681.359
134,85,10396.076
133,86,8829.402
132,87,8617.767
131,88,9394.282
130,89,11569.480
129,90,14471.390
128,91,18540.131
127,92,23286.569
126,93,29456.655
136,84,15263.461
135,85,14375.747
134,86,10612.077
133,87,11482.320
132,88,10270.245
131,89,13743.682
130,90,14669.100
137,84,19773.755
136,85,16782.727
135,86,14471.420
134,87,13277.290
133,88,12963.811
132,89,14523.109
131,90,16940.371
130,91,20376.288
129,92,24519.995
138,84,22486.265
137,85,20953.026
136,86,16372.206
135,87,16378.105
134,88,14320.188
133,89,16621.474
132,90,17203.111
130,92,24272.827
138,85,23428.006
137,86,20389.739
136,87,18382.394
135,88,17233.309
134,89,17825.882
133,90,19385.831
132,91,22320.676
131,92,25837.006
139,85,27711.015
138,86,22445.098
137,87,21748.616
136,88,18825.917
135,89,20234.135
134,90,19993.734
133,91,23862.278
132,92,25722.252
139,86,26534.141
138,87,23820.610
137,88,21993.109
136,89,21637.346
135,90,22310.127
134,91,24340.725
133,92,27379.921
132,93,31587.704
140,86,28747.192
139,87,27520.539
138,88,23667.824
137,89,24309.264
136,90,23197.634
135,91,26033.276
134,92,27328.869
141,86,32885.834
140,87,29682.445
139,88,27177.711
138,89,25849.580
137,90,25804.823
136,91,26831.198
135,92,29045.462
134,93,32562.080
142,86,35243.465
141,87,33384.221
140,88,28940.268
139,89,28894.728
138,90,26770.984
137,91,28923.586
136,92,29222.226
135,93,33595.694
134,94,36087.370
143,86,39362.400
142,87,35668.262
141,88,32561.963
140,89,30689.933
139,90,29585.583
138,91,29896.908
137,92,31210.554
136,93,33779.675
135,94,37395.590
134,95,42150.020
143,87,39486.768
142,88,34516.306
141,89,33838.383
140,90,30862.593
139,91,32173.607
138,92,31615.002
137,93,35236.291
136,94,36934.392
144,87,42080.575
143,88,38216.486
142,89,35762.849
141,90,33815.891
140,91,33424.404
139,92,33806.015
138,93,35624.513
137,94,38309.005
145,87,46072.834
144,88,40496.953
143,89,39154.419
142,90,35446.784
141,91,35946.633
140,92,34609.530
138,94,38363.140
146,87,48920.051
145,88,44334.060
144,89,41308.033
143,90,38731.715
142,91,37489.472
141,92,36919.176
140,93,37948.590
139,94,40051.769
137,96,47294.006
146,88,46930.629
145,89,44841.190
144,90,40613.009
143,91,40338.921
142,92,38145.025
141,93,39954.871
140,94,40349.971
138,96,46724.633
146,89,47357.155
145,90,44017.749
144,91,42288.896
143,92,40918.846
142,93,41043.108
141,94,42182.410
140,95,44625.429
147,89,51220.992
146,90,46255.198
145,91,45333.950
144,92,42444.644
143,93,43378.178
142,94,42901.593
140,96,47855.045
147,90,49955.092
146,91,47527.619
145,92,45390.194
144,93,44871.659
143,94,45091.722
141,96,49247.085
139,98,57938.921
147,91,50894.038
146,92,47307.783
145,93,47454.656
144,94,46163.213
143,95,48421.487
142,96,49445.188
147,92,50572.718
146,93,49311.057
145,94,48588.282
144,95,49390.424
143,96,51147.025
148,92,52715.505
147,93,52316.272
146,94,50125.380
145,95,51510.169
144,96,51724.306
142,98,57990.944
148,93,54260.175
147,94,52955.175
146,95,52934.395
145,96,53701.830
149,93,57416.932
148,94,54716.932
147,95,55468.072
146,96,54803.764
144,98,59386.966
149,94,57754.602
148,95,57175.046
147,96,57181.998
146,97,58689.693
150,94,59806.028
149,95,59879.196
148,96,58451.896
147,97,60713.885
146,98,61478.179
151,94,63178.179
150,95,61900.469
149,96,61004.580
148,97,61813.836
147,98,63385.210
152,94,65394.801
150,96,62616.967
149,97,63966.967
148,98,64090.292
146,100,70188.833
151,96,65533.143
150,97,65489.562
149,98,66103.903
148,99,68578.388
152,96,67392.755
150,98,67238.012
148,100,71897.857
153,96,70750.702
152,97,69846.384
151,98,69722.784
149,100,73519.188
154,96,72989.594
153,97,72949.978
152,98,71170.391
150,100,74072.243
155,96,76648.018
154,97,75228.018
153,98,74135.018
152,99,74512.277
151,100,75953.919
150,101,78966.744
154,98,76034.617
153,99,77294.617
152,100,76815.627
150,102,82871.427
155,98,79301.567
154,99,79010.538
153,100,79345.740
151,102,84358.735
156,98,81341.401
155,99,81990.594
154,100,80902.794
152,102,84723.347
156,99,84089.274
155,100,83799.654
154,101,84843.070
153,102,86807.234
152,103,89947.300
156,100,85486.817
154,102,87822.062
153,103,91746.598
152,104,94222.049
157,100,88590.033
156,101,88993.053
155,102,90247.256
153,104,95866.427
157,101,91686.792
154,104,96341.036
157,102,94078.569
154,105,101991.016
154,106,106547.552
157,104,101318.594
155,106,108005.043
156,106,108365.771
156,108,119563.222
157,108,120900.283
158,108,121136.373
159,110,134834.709
160,110,134678.282
