nucid,n,z,mass_excess,mass_excess_num,mass_excess_unc,mass_excess_sys,mass_excess_round,mass_excess_round_unc,binding,binding_num,binding_unc,binding_sys,binding_round,binding_round_unc,beta_decay_en_round,beta_decay_en_round_unc,beta_decay_en,beta_decay_en_num,beta_decay_en_unc,beta_decay_en_sys,atomic_mass,atomic_mass_num,atomic_mass_unc,atomic_mass_sys,atomic_mass_round,atomic_mass_round_unc,s2n,s2n_num,s2n_unc,s2n_round,s2n_round_unc,s2n_sys,s2p,s2p_num,s2p_unc,s2p_round,s2p_round_unc,s2p_sys,qa,qa_num,qa_unc,qa_round,qa_round_unc,qa_sys,q2bm,q2bm_num,q2bm_unc,q2bm_round,q2bm_round_unc,q2bm_sys,qep,qep_num,qep_unc,qep_round,qep_round_unc,qep_sys,qbmn,qbmn_num,qbmn_unc,qbmn_round,qbmn_round_unc,qbmn_sys,sn,sn_num,sn_unc,sn_round,sn_round_unc,sn_sys,sp,sp_num,sp_unc,sp_round,sp_round_unc,sp_sys,q4bm,q4bm_num,q4bm_unc,q4bm_round,q4bm_round_unc,q4bm_sys,qda,qda_num,qda_unc,qda_round,qda_round_unc,qda_sys,qpa,qpa_num,qpa_unc,qpa_round,qpa_round_unc,qpa_sys,qna,qna_num,qna_unc,qna_round,qna_round_unc,qna_sys,qec_num,qec_unc,qec_round,qec_round_unc,qec
125SB,74,51,-88255.094,-88255.094,2.515,N,-88255.1,2.5,8458.1612,8458.1612,0.0201,N,8458.161,0.020,766.7,2.1,766.7000,766.7,2.1213,N,124905254.264,124905254.264,2.700,N,124905254.3,2.7,15174.8395,15174.8395,2.1247,15174.8,2.1,N,19404.0024,19404.0024,19.9470,19404,20,N,-4845.4168,-4845.4168,27.4986,-4845,27,N,580.9300,580.93,2.1222,580.9,2.1,N,-14676.2865,-14676.2865,30.6424,-14676,31,N,-5802.2703,-5802.2703,2.1215,-5802.3,2.1,N,8707.3432,8707.3432,2.1256,8707.3,2.1,N,7312.5896,7312.5896,2.1568,7312.6,2.2,N,10270.3957,10270.3957,3.2169,10270,3,N,6548.9142,6548.9142,3.2203,6549,3,N,962.6691,962.6691,50.1036,963,50,N,NULL,NULL,NULL,NULL,NULL,NULL,-2361.437,2.845,-2361.4,2.8,-2361.437
125TE,73,52,-89021.794,-89021.794,1.352,N,-89021.8,1.4,8458.0361,8458.0361,0.0108,N,8458.036,0.011,-185.77,0.06,-185.7700,-185.77,0.0600,N,124904431.178,124904431.178,1.451,N,124904431.2,1.5,15993.4523,15993.4523,0.0995,15993.45,0.10,N,15785.0534,15785.0534,2.4184,15785.1,2.4,N,-2250.0837,-2250.0837,1.3946,-2250.1,1.4,N,-1822.4332,-1822.4332,0.4217,-1822.4,0.4,N,-8079.2896,-8079.2896,0.3897,-8079.3,0.4,N,-9728.5572,-9728.5572,1.8596,-9728.6,1.9,N,6568.9703,6568.9703,0.0300,6568.97,0.03,N,8691.6962,8691.6962,0.1351,8691.70,0.14,N,10911.9036,10911.9036,0.1195,10911.90,0.12,N,4176.4659,4176.4659,2.1292,4176.5,2.1,N,6564.5612,6564.5612,2.4229,6564.6,2.4,N,NULL,NULL,NULL,NULL,NULL,NULL,-766.7,2.8,-766.7,2.8,-766.7
125I,72,53,-88836.024,-88836.024,1.353,N,-88836.0,1.4,8450.2911,8450.2911,0.0108,N,8450.291,0.011,-1636.7,0.4,-1636.6632,-1636.6632,0.4259,N,124904630.610,124904630.61,1.452,N,124904630.6,1.5,17036.0721,17036.0721,3.4467,17036,3,N,14191.0755,14191.0755,0.1337,14191.08,0.13,N,-1661.7830,-1661.783,2.1340,-1661.8,2.1,N,-4746.2816,-4746.2816,7.7837,-4746,8,N,-8505.9262,-8505.9262,0.1478,-8505.93,0.15,N,-9239.9371,-9239.9371,0.1466,-9239.94,0.15,N,9542.7872,9542.7872,1.8605,9542.8,1.9,N,5600.8533,5600.8533,0.0671,5600.85,0.07,N,11045.7608,11045.7608,0.1162,11045.76,0.12,N,6341.3131,6341.3131,0.1408,6341.31,0.14,N,5144.5829,5144.5829,2.1301,5144.6,2.1,N,NULL,NULL,NULL,NULL,NULL,NULL,185.77,1.91,185.8,1.9,185.77
125XE,71,54,-87199.361,-87199.361,1.415,N,-87199.4,1.4,8430.9390,8430.939,0.0113,N,8430.939,0.011,-3110,8,-3109.6184,-3109.6184,7.7879,N,124906387.640,124906387.64,1.518,N,124906387.6,1.5,18093.7391,18093.7391,9.5656,18094,10,N,12606.3251,12606.3251,0.4312,12606.3,0.4,N,-1081.1660,-1081.166,25.8041,-1081,26,N,-7530.3848,-7530.3848,11.0829,-7530,11,N,-3964.1901,-3964.1901,0.4206,-3964.2,0.4,N,-13529.6184,-13529.6184,9.2597,-13530,9,N,7603.2739,7603.2739,0.3999,7603.3,0.4,N,7123.7770,7123.777,1.9063,7123.8,1.9,N,11454.0342,11454.0342,3.4716,11454,3,N,3743.9763,3743.9763,5.0192,3744,5,N,8760.3233,8760.3233,0.4384,8760.3,0.4,N,NULL,NULL,NULL,NULL,NULL,NULL,1636.663,1.958,1636.7,2.0,1636.663
125CS,70,55,-84089.742,-84089.742,7.736,N,-84090,8,8399.8033,8399.8033,0.0619,N,8399.80,0.06,-4421,13,-4420.7663,-4420.7663,13.4415,N,124909725.953,124909725.953,8.304,N,124909726,8,19188.7219,19188.7219,14.3695,19189,14,N,10725.0965,10725.0965,8.5073,10725,9,N,-269.0091,-269.0091,9.0032,-269,9,N,-10330.2499,-10330.2499,27.1237,-10330,27,N,-4014.1586,-4014.1586,8.0024,-4014,8,N,-13071.2747,-13071.2747,14.6978,-13071,15,N,10419.9999,10419.9999,11.9826,10420,12,N,3711.3085,3711.3085,7.7838,3711,8,N,11869.3225,11869.3225,12.2606,11869,12,N,6129.3010,6129.301,13.5388,6129,14,N,7635.9417,7635.9417,9.2518,7636,9,N,NULL,NULL,NULL,NULL,NULL,NULL,3109.619,7.864,3110,8,3109.619
125BA,69,56,-79668.976,-79668.976,10.992,N,-79669,11,8358.1784,8358.1784,0.0879,N,8358.18,0.09,-5909,28,-5909.4836,-5909.4836,27.6308,N,124914471.840,124914471.84,11.800,N,124914472,12,20156.6489,20156.6489,16.3545,20157,16,N,8998.6603,8998.6603,14.5507,8999,15,N,387.1047,387.1047,15.0247,387,15,N,-13011,-13011,196,-13011,196,Y,709.4579,709.4579,11.0758,709,11,N,-17481.6769,-17481.6769,57.7251,-17482,58,N,8650.5084,8650.5084,16.6437,8651,17,N,5216.8866,5216.8866,14.3028,5217,14,N,12085.4876,12085.4876,16.3545,12085,16,N,3339.8479,3339.8479,35.4350,3340,35,N,11332.4144,11332.4144,15.6296,11332,16,N,NULL,NULL,NULL,NULL,NULL,NULL,4420.766,13.441,4421,13,4420.766
125LA,68,57,-73759.492,-73759.492,25.997,N,-73759,26,8304.6438,8304.6438,0.2080,N,8304.64,0.21,-7102,197,-7102,-7102,197,Y,124920815.931,124920815.931,27.909,N,124920816,28,21251,21251,197,21251,197,Y,7293.7780,7293.778,28.6791,7294,29,N,917.9334,917.9334,29.6657,920,30,N,-15689,-15689,301,-15689,301,Y,692.5970,692.597,27.5607,693,28,N,-16915,-16915,299,-16915,299,Y,11572.1933,11572.1933,62.3474,11572,62,N,1958.6778,1958.6778,28.8450,1959,29,N,12606.2778,12606.2778,28.6791,12606,29,N,5713.5145,5713.5145,38.1676,5714,38,N,10031.6784,10031.6784,42.5518,10032,43,N,NULL,NULL,NULL,NULL,NULL,NULL,5909.484,28.225,5909,28,5909.484
125CE,67,58,-66658,-66658,196,Y,-66660,200,8242,8242,2,Y,8242,2,-8587,358,-8587,-8587,358,Y,124928440,124928440,210,Y,124928440,210,22514,22514,357,22514,357,Y,5581,5581,196,5581,196,Y,1662,1662,242,1662,242,Y,-18588,-18588,445,-18588,445,Y,5143,5143,196,5143,196,Y,-21578,-21578,446,-21578,446,Y,9813,9813,357,9813,357,Y,3688,3688,204,3688,204,Y,12704,12704,277,12704,277,Y,2750,2750,357,2750,357,Y,13598,13598,198,13598,198,Y,NULL,NULL,NULL,NULL,NULL,NULL,7101.492,197.717,7101,198,7101.492
125PR,66,59,-58070,-58070,300,Y,-58070,300,8167,8167,2,Y,8167,2,-10001,500,-10001,-10001,500,Y,124937659,124937659,322,Y,124937660,320,23983,23983,500,23983,500,Y,3997,3997,358,3997,358,Y,1695,1695,424,1695,424,Y,NULL,NULL,NULL,NULL,NULL,NULL,4899,4899,305,4899,305,Y,-21312,-21312,583,-21312,583,Y,12991,12991,500,12991,500,Y,443,443,423,443,423,Y,12927,12927,423,12927,423,Y,4668,4668,500,4668,500,Y,12119,12119,423,12119,423,Y,NULL,NULL,NULL,NULL,NULL,NULL,8588,358.3,8588,358,8588.0
125ND,65,60,-48070,-48070,400,Y,-48070,400,8080,8080,3,Y,8080,3,NULL,NULL,NULL,NULL,NULL,NULL,124948395,124948395,429,Y,124948400,430,NULL,NULL,NULL,NULL,NULL,NULL,2361,2361,499,2361,499,Y,2195,2195,566,2195,566,Y,NULL,NULL,NULL,NULL,NULL,NULL,9557,9557,499,9557,499,Y,NULL,NULL,NULL,NULL,NULL,NULL,11311,11311,640,11311,640,Y,2208,2208,566,2208,566,Y,12871,12871,565,12871,565,Y,1574,1574,640,1574,640,Y,15450,15450,566,15450,566,Y,NULL,NULL,NULL,NULL,NULL,NULL,10000,500.0,10000,500,10000.0
