nucid,n,z,mass_excess,mass_excess_num,mass_excess_unc,mass_excess_sys,mass_excess_round,mass_excess_round_unc,binding,binding_num,binding_unc,binding_sys,binding_round,binding_round_unc,beta_decay_en_round,beta_decay_en_round_unc,beta_decay_en,beta_decay_en_num,beta_decay_en_unc,beta_decay_en_sys,atomic_mass,atomic_mass_num,atomic_mass_unc,atomic_mass_sys,atomic_mass_round,atomic_mass_round_unc,s2n,s2n_num,s2n_unc,s2n_round,s2n_round_unc,s2n_sys,s2p,s2p_num,s2p_unc,s2p_round,s2p_round_unc,s2p_sys,qa,qa_num,qa_unc,qa_round,qa_round_unc,qa_sys,q2bm,q2bm_num,q2bm_unc,q2bm_round,q2bm_round_unc,q2bm_sys,qep,qep_num,qep_unc,qep_round,qep_round_unc,qep_sys,qbmn,qbmn_num,qbmn_unc,qbmn_round,qbmn_round_unc,qbmn_sys,sn,sn_num,sn_unc,sn_round,sn_round_unc,sn_sys,sp,sp_num,sp_unc,sp_round,sp_round_unc,sp_sys,q4bm,q4bm_num,q4bm_unc,q4bm_round,q4bm_round_unc,q4bm_sys,qda,qda_num,qda_unc,qda_round,qda_round_unc,qda_sys,qpa,qpa_num,qpa_unc,qpa_round,qpa_round_unc,qpa_sys,qna,qna_num,qna_unc,qna_round,qna_round_unc,qna_sys,qec_num,qec_unc,qec_round,qec_round_unc,qec
1N,1,0,8071.31806,8071.31806,0.00044,N,8071.3181,0.0004,0.0,0,0.0,N,0.0,0.0,782.347,"&lt;0.5 eV",782.3470,782.347,0.0004,N,1008664.91590,1008664.9159,0.00047,N,1008664.9159,0.0005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0,0.0,0.0,0.0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
1H,0,1,7288.971064,7288.971064,0.000013,N,7288.97106,0.00001,0.0,0,0.0,N,0.0,0.0,NULL,NULL,NULL,NULL,NULL,NULL,1007825.031898,1007825.031898,0.000014,N,1007825.03190,0.00001,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0,0.0,0.0,0.0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-782.347,0.0,-782.347,0.000,-782.347
2H,1,1,13135.722895,13135.722895,0.000015,N,13135.72290,0.00002,1112.2831,1112.2831,0.0002,N,1112.283,"0.5 eV",NULL,NULL,NULL,NULL,NULL,NULL,2014101.777844,2014101.777844,0.000015,N,2014101.77784,0.00002,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2224.5662,2224.5662,0.0004,2224.5660,0.0004,N,2224.5662,2224.5662,0.0004,2224.5660,0.0004,N,23846.5299,23846.5299,0.0002,23846.5299,0.0002,N,NULL,NULL,NULL,23846.52740,0.00015,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3H,2,1,14949.81090,14949.8109,0.00008,N,14949.81090,0.00008,2827.2654,2827.2654,0.0003,N,2827.265,"0.5 eV",18.592,"&lt;0.5 eV",18.59202,18.59202,0.00006,N,3016049.28132,3016049.28132,0.00008,N,3016049.28132,0.00008,8481.7963,8481.7963,0.0009,8481.7954,0.0009,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-13717,-13717,2000,-13717,2000,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,6257.2301,6257.2301,0.0004,6257.2294,0.0004,N,NULL,NULL,NULL,NULL,NULL,NULL,17589.2999,17589.2999,0.0005,17589.2999,0.0005,N,19813.8661,19813.8661,0.0002,17589.2980,0.0005,N,NULL,NULL,NULL,19813.86399,0.00017,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
3HE,1,2,14931.21888,14931.21888,0.00006,N,14931.21888,0.00006,2572.68044,2572.68044,0.00015,N,2572.680,"0.5 eV",-13736,2000,-13736,-13736,2000,Y,3016029.32197,3016029.32197,0.00006,N,3016029.32197,0.00006,NULL,NULL,NULL,NULL,NULL,NULL,7718.0413,7718.0413,0.0004,7718.0405,0.0004,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,5493.4751,5493.4751,0.0001,5493.474497,0.000022,N,18353.0548,18353.0548,0.0002,18353.0548,0.0002,N,NULL,NULL,NULL,18353.05290,0.00016,NULL,20577.6211,20577.6211,0.0005,20577.6211,0.0005,N,NULL,NULL,NULL,20577.6189,0.0005,NULL,-18.592,0.0,-18.592,0.000,-18.592
3LI,0,3,28667,28667,2000,Y,28670,2000,-2267,-2267,667,Y,-2270,670,NULL,NULL,NULL,NULL,NULL,NULL,3030775,3030775,2147,Y,3030780,2150,NULL,NULL,NULL,NULL,NULL,NULL,-6800,-6800,2000,-6800,2000,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8242,8242,2000,8242,2000,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,13735.781,2000.0,13736,2000,13735.781
4H,3,1,24621.129,24621.129,100.000,N,24620,100,1720.4491,1720.4491,25.0000,N,1720,25,22200,100,22196.2131,22196.2131,100.0000,N,4026431.867,4026431.867,107.354,N,4026430,110,4657.2300,4657.23,100.0000,4657,100,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-702.0609,-702.0609,234.5208,-702,235,N,NULL,NULL,NULL,NULL,NULL,NULL,1618.5921,1618.5921,100.0000,1619,100,N,-1600.0000,-1600,100.0000,-1600,100,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21413.8661,21413.8661,100.0000,21414,100,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4HE,2,2,2424.91587,2424.91587,0.00015,N,2424.91587,0.00015,7073.9156,7073.9156,0.0002,N,7073.916,"0.5 eV",-22898,212,-22898.2740,-22898.274,212.1320,N,4002603.25413,4002603.25413,0.00016,N,4002603.25413,0.00016,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.0,0,0.0,0.0,0.0,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-34313,-34313,2000,-34313,2000,Y,20577.6211,20577.6211,0.0005,20577.6189,0.0005,N,19813.8661,19813.8661,0.0002,19813.86399,0.00017,N,0.0,0,0.0,0.0,0.0,N,0.0000,0,0.0000,0.0000,0.0000,N,-0.0000,0,0.0000,0.0000,0.0000,N,NULL,NULL,NULL,NULL,NULL,NULL,-22196.213,100.0,-22196,100,-22196.213
4LI,1,3,25323.190,25323.19,212.132,N,25320,210,1153.7603,1153.7603,53.0330,N,1150,50,NULL,NULL,NULL,NULL,NULL,NULL,4027185.561,4027185.561,227.733,N,4027190,230,NULL,NULL,NULL,NULL,NULL,NULL,2390.4751,2390.4751,212.1320,2390,212,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3084.4079,3084.4079,212.1320,3084,212,N,NULL,NULL,NULL,NULL,NULL,NULL,11415,11415,2011,11415,2011,Y,-3102.9999,-3102.9999,212.1320,-3103,212,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,23680.6210,23680.621,212.1320,23681,212,N,NULL,NULL,NULL,NULL,NULL,NULL,22898.274,212.132,22898,212,22898.274
5H,4,1,32892.447,32892.447,89.443,N,32890,90,1336.3592,1336.3592,17.8885,N,1336,18,21660,90,21661.2131,21661.2131,91.6515,N,5035311.492,5035311.492,96.020,N,5035310,100,-1800.0001,-1800.0001,89.4427,-1800,89,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,21213.5602,21213.5602,102.4695,21214,102,N,NULL,NULL,NULL,NULL,NULL,NULL,22396.2132,22396.2132,89.4427,22396,89,N,-200.0000,-200,134.1641,-200,134,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
5HE,3,2,11231.234,11231.234,20.000,N,11231,20,5512.1325,5512.1325,4.0000,N,5512,4,-448,54,-447.6529,-447.6529,53.8516,N,5012057.224,5012057.224,21.470,N,5012057,21,19842.6210,19842.621,20.0000,19843,20,N,NULL,NULL,NULL,NULL,NULL,NULL,735.0000,735,20.0000,735,20,N,-25907,-25907,2003,-25907,2003,Y,NULL,NULL,NULL,NULL,NULL,NULL,-22163.2740,-22163.274,213.0728,-22163,213,N,-735.0000,-735,20.0000,-735,20,N,20678.8661,20678.8661,101.9804,20679,102,N,6992.2301,6992.2301,20.0000,6992,20,N,2959.5663,2959.5663,20.0000,2960,20,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-21661.213,91.652,-21661,92,-21661.213
5LI,2,3,11678.887,11678.887,50.000,N,11680,50,5266.1325,5266.1325,10.0000,N,5266,10,-25460,2003,-25460,-25460,2003,Y,5012537.800,5012537.8,53.677,N,5012540,50,33131,33131,2001,33131,2001,Y,17848.8662,17848.8662,50.0000,17849,50,N,1964.9999,1964.9999,50.0000,1965,50,N,NULL,NULL,NULL,NULL,NULL,NULL,-20231.2132,-20231.2132,111.8034,-20231,112,N,NULL,NULL,NULL,NULL,NULL,NULL,21715.6211,21715.6211,217.9449,21716,218,N,-1964.9999,-1964.9999,50.0000,-1965,50,N,7458.4750,7458.475,50.0000,7458,50,N,NULL,NULL,NULL,NULL,NULL,NULL,4189.5662,4189.5662,50.0000,4190,50,N,NULL,NULL,NULL,NULL,NULL,NULL,447.653,53.852,448,54,447.653
5BE,1,4,37139,37139,2003,Y,37140,2000,18,18,401,Y,20,400,NULL,NULL,NULL,NULL,NULL,NULL,5039870,5039870,2150,Y,5039870,2150,NULL,NULL,NULL,NULL,NULL,NULL,-7630,-7630,2003,-7630,2003,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27425,27425,2003,27425,2003,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-4527,-4527,2014,-4527,2014,Y,19183,19183,2830,19183,2830,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25460.113,2003.624,25460,2004,25460.113
6H,5,1,41875.725,41875.725,254.127,N,41880,250,961.6395,961.6395,42.3545,N,960,40,24280,250,24283.6294,24283.6294,254.1268,N,6044955.437,6044955.437,272.816,N,6044960,270,-1111.9594,-1111.9594,273.0942,-1112,273,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,27788.8441,27788.8441,254.1268,27789,254,N,NULL,NULL,NULL,NULL,NULL,NULL,22573.1725,22573.1725,254.9126,22573,255,N,-911.9594,-911.9594,269.4075,-912,269,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
6HE,4,2,17592.095,17592.095,0.053,N,17592.10,0.05,4878.5199,4878.5199,0.0089,N,4878.520,0.009,3505.21,0.05,3505.2147,3505.2147,0.0532,N,6018885.889,6018885.889,0.057,N,6018885.89,0.06,975.4569,975.4569,0.0532,975.46,0.05,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-782.9387,-782.9387,5.4480,-783,5,N,NULL,NULL,NULL,NULL,NULL,NULL,-2158.1098,-2158.1098,50.0000,-2158,50,N,1710.4569,1710.4569,20.0001,1710,20,N,22589.3230,22589.323,89.4427,22589,89,N,3681.7732,3681.7732,100.0000,3682,100,N,7506.3394,7506.3394,0.0532,7506.34,0.05,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-24283.63,254.12,-24284,254,-24283.63
6LI,3,3,14086.88044,14086.88044,0.00144,N,14086.8804,0.0014,5332.3312,5332.3312,0.0003,N,5332.331,"0.5 eV",-4288,5,-4288.1534,-4288.1534,5.4478,N,6015122.88742,6015122.88742,0.00155,N,6015122.8874,0.0015,27378.9456,27378.9456,212.1320,27379,212,N,25112.1907,25112.1907,100.0000,25112,100,N,-1473.7583,-1473.7583,0.0015,-1473.7582,0.0015,N,-33233,-33233,2003,-33233,2003,Y,-26094.5377,-26094.5377,89.4427,-26095,89,N,-31123,-31123,2003,-31123,2003,Y,5663.3245,5663.3245,50.0000,5663,50,N,4433.3246,4433.3246,20.0000,4433,20,N,22372.7716,22372.7716,0.0015,22372.7716,0.0015,N,4019.7168,4019.7168,0.0015,22372.7692,0.0015,N,4783.4717,4783.4717,0.0015,4019.7163,0.0015,N,NULL,NULL,NULL,4783.4712,0.0015,NULL,-3505.215,0.053,-3505.22,0.05,-3505.215
6BE,2,4,18375.034,18375.034,5.448,N,18375,5,4487.2478,4487.2478,0.9080,N,4487.2,0.9,-28945,2003,-28945,-28945,2003,Y,6019726.409,6019726.409,5.848,N,6019726,6,NULL,NULL,NULL,NULL,NULL,NULL,-1372.1758,-1372.1758,5.4478,-1372,5,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-145.1712,-145.1712,20.7287,-145,21,N,NULL,NULL,NULL,NULL,NULL,NULL,26835,26835,2003,26835,2003,Y,592.8241,592.8241,50.2959,593,50,N,3762.6510,3762.651,212.2020,3763,212,N,-5428,-5428,2000,-5428,2000,Y,9090.2171,9090.2171,5.4478,9090,5,N,NULL,NULL,NULL,NULL,NULL,NULL,4288.154,5.448,4288,5,4288.154
6B,1,5,47320,47320,2003,Y,47320,2000,-467,-467,334,Y,-470,330,NULL,NULL,NULL,NULL,NULL,NULL,6050800,6050800,2150,Y,6050800,2150,NULL,NULL,NULL,NULL,NULL,NULL,-7419,-7419,2014,-7419,2014,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,28352,28352,2003,28352,2003,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-2892,-2892,2832,-2892,2832,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,24299,24299,2830,24299,2830,Y,NULL,NULL,NULL,NULL,NULL,NULL,28944.966,2003.007,28945,2003,28944.966
7H,6,1,49135,49135,1004,Y,49140,1000,940,940,143,Y,940,140,23060,1000,23062,23062,1004,Y,7052749,7052749,1078,Y,7052750,1080,-100,-100,1000,-100,1000,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,34228,34228,1004,34228,1004,Y,NULL,NULL,NULL,NULL,NULL,NULL,23472,23472,1004,23472,1004,Y,812,812,1036,812,1036,Y,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
7HE,5,2,26073.128,26073.128,7.559,N,26073,8,4123.0578,4123.0578,1.0799,N,4123.1,1.1,11166,8,11166.0229,11166.0229,7.5595,N,7027990.652,7027990.652,8.115,N,7027991,8,1300.7426,1300.7426,21.3810,1301,21,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,10304.1299,10304.1299,7.5598,10304,8,N,NULL,NULL,NULL,NULL,NULL,NULL,3914.9290,3914.929,7.5595,3915,8,N,-409.7143,-409.7143,7.5593,-410,8,N,23091.5681,23091.5681,254.2392,23092,254,N,3891.4875,3891.4875,89.7616,3891,90,N,6316.0537,6316.0537,100.2853,6316,100,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-23061.872,1004.028,-23062,1004,-23061.872
7LI,4,3,14907.10463,14907.10463,0.00419,N,14907.105,0.004,5606.4401,5606.4401,0.0006,N,5606.440,0.001,-861.89,0.07,-861.8930,-861.893,0.0707,N,7016003.43426,7016003.43426,0.00450,N,7016003.434,0.004,12914.4184,12914.4184,50.0000,12914,50,N,32563.2846,32563.2846,89.4427,32563,89,N,-2467.6221,-2467.6221,0.0042,-2467.622,0.004,N,-12769.4481,-12769.4481,25.1503,-12769,25,N,-34257.5910,-34257.591,254.1268,-34258,254,N,-11539.2472,-11539.2472,5.4478,-11539,5,N,7251.0939,7251.0939,0.0045,7251.093,0.004,N,9973.9616,9973.9616,0.0531,9973.96,0.05,N,14386.6777,14386.6777,20.0000,14387,20,N,17346.2440,17346.244,0.0042,17346.244,0.004,N,-4067.6222,-4067.6222,100.0000,17346.242,0.004,N,NULL,NULL,NULL,NULL,NULL,NULL,-11166.023,7.559,-11166,8,-11166.023
7BE,3,4,15768.998,15768.998,0.071,N,15769.00,0.07,5371.5487,5371.5487,0.0101,N,5371.549,0.010,-11908,25,-11907.5551,-11907.5551,25.1504,N,7016928.714,7016928.714,0.076,N,7016928.71,0.08,37512,37512,2003,37512,2003,Y,10040.1785,10040.1785,20.0001,10040,20,N,-1587.1371,-1587.1371,0.0708,-1587.14,0.07,N,NULL,NULL,NULL,NULL,NULL,NULL,-9112.0686,-9112.0686,0.0884,-9112.07,0.09,N,-39622,-39622,2003,-39622,2003,Y,10677.3542,10677.3542,5.4482,10677,5,N,5606.8539,5606.8539,0.0709,5606.85,0.07,N,14800.9178,14800.9178,50.0001,14801,50,N,-4690.1370,-4690.137,212.1320,-4690,212,N,18990.4840,18990.484,0.0708,18990.48,0.07,N,NULL,NULL,NULL,NULL,NULL,NULL,861.893,0.071,861.89,0.07,861.893
7B,2,5,27676.553,27676.553,25.150,N,27677,25,3558.7055,3558.7055,3.5929,N,3559,4,NULL,NULL,NULL,NULL,NULL,NULL,7029712.000,7029712,27.000,N,7029712,27,NULL,NULL,NULL,NULL,NULL,NULL,-1419.7238,-1419.7238,55.9691,-1420,56,N,-3415,-3415,2000,-3415,2000,Y,NULL,NULL,NULL,NULL,NULL,NULL,6300.7013,6300.7013,25.1503,6301,25,N,NULL,NULL,NULL,NULL,NULL,NULL,27715,27715,2003,27715,2003,Y,-2012.5479,-2012.5479,25.7336,-2013,26,N,1249,1249,2003,1249,2003,Y,NULL,NULL,NULL,NULL,NULL,NULL,7999.7651,7999.7651,213.6177,8000,214,N,NULL,NULL,NULL,NULL,NULL,NULL,11907.555,25.15,11908,25,11907.555
8HE,6,2,31609.683,31609.683,0.089,N,31609.68,0.09,3924.5210,3924.521,0.0111,N,3924.521,0.011,10663.88,0.10,10663.8784,10663.8784,0.1005,N,8033934.388,8033934.388,0.095,N,8033934.39,0.10,2125.0484,2125.0484,0.1034,2125.05,0.10,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26668.0112,26668.0112,0.0955,26668.01,0.10,N,NULL,NULL,NULL,NULL,NULL,NULL,8631.2602,8631.2602,0.0887,8631.26,0.09,N,2534.7627,2534.7627,7.5600,2535,8,N,24814,24814,1004,24814,1004,Y,444.7654,444.7654,254.1268,445,254,N,3581.2910,3581.291,89.4428,3581,89,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
8LI,5,3,20945.805,20945.805,0.047,N,20945.80,0.05,5159.7124,5159.7124,0.0059,N,5159.712,0.006,16004.13,0.06,16004.1329,16004.1329,0.0591,N,8022486.244,8022486.244,0.050,N,8022486.24,0.05,9283.7120,9283.712,0.0474,9283.71,0.05,N,35507.8621,35507.8621,254.1268,35508,254,N,-6100.2403,-6100.2403,100.0000,-6100,100,N,-1975.7645,-1975.7645,1.0010,-1975.8,1.0,N,-35478,-35478,1004,-35478,1004,Y,-2894.5112,-2894.5112,0.0850,-2894.51,0.09,N,2032.6182,2032.6182,0.0472,2032.62,0.05,N,12416.2941,12416.2941,7.5596,12416,8,N,14064.5164,14064.5164,0.0711,14064.52,0.07,N,14578.6257,14578.6257,20.0001,14579,20,N,-6300.2404,-6300.2404,89.4427,-6300,89,N,NULL,NULL,NULL,NULL,NULL,NULL,-10663.878,0.101,-10663.88,0.10,-10663.878
8BE,4,4,4941.672,4941.672,0.035,N,4941.67,0.04,7062.4356,7062.4356,0.0044,N,7062.436,0.004,-17979.9,1.0,-17979.8973,-17979.8973,1.0005,N,8005305.102,8005305.102,0.037,N,8005305.10,0.04,29575.9983,29575.9983,5.4479,29576,5,N,27228.3656,27228.3656,0.0639,27228.37,0.06,N,91.8399,91.8399,0.0354,91.84,0.04,N,-30122.5975,-30122.5975,18.2430,-30123,18,N,-28420.4269,-28420.4269,7.5596,-28420,8,N,-30806.1992,-30806.1992,25.1504,-30806,25,N,18898.6440,18898.644,0.0792,18898.64,0.08,N,17254.4040,17254.404,0.0356,17254.40,0.04,N,1565.5983,1565.5983,0.0354,1565.60,0.04,N,-1873.1600,-1873.16,50.0000,-1873,50,N,-643.1601,-643.1601,20.0000,-643,20,N,NULL,NULL,NULL,NULL,NULL,NULL,-16004.133,0.059,-16004.13,0.06,-16004.133
8B,3,5,22921.569,22921.569,1.000,N,22921.6,1.0,4717.1551,4717.1551,0.1250,N,4717.16,0.12,-12143,18,-12142.7002,-12142.7002,18.2704,N,8024607.315,8024607.315,1.073,N,8024607.3,1.1,40541,40541,2003,40541,2003,Y,5743.2536,5743.2536,0.9999,5743.3,1.0,N,-4826.5368,-4826.5368,212.1344,-4827,212,N,NULL,NULL,NULL,NULL,NULL,NULL,725.4933,725.4933,0.9999,725.5,1.0,N,NULL,NULL,NULL,NULL,NULL,NULL,12826.3018,12826.3018,25.1702,12826,25,N,136.3997,136.3997,1.0024,136.4,1.0,N,15257.3422,15257.3422,5.5388,15257,6,N,-9353,-9353,2003,-9353,2003,Y,16889.0843,16889.0843,50.0100,16889,50,N,NULL,NULL,NULL,NULL,NULL,NULL,17979.897,1.001,17979.9,1.0,17979.897
8C,2,6,35064.269,35064.269,18.243,N,35064,18,3101.5242,3101.5242,2.2804,N,3101.5,2.3,NULL,NULL,NULL,NULL,NULL,NULL,8037643.039,8037643.039,19.584,N,8037643,20,NULL,NULL,NULL,NULL,NULL,NULL,-2111.2932,-2111.2932,19.0390,-2111,19,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,12006.3005,12006.3005,18.2431,12006,18,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-98.7453,-98.7453,31.0700,-99,31,N,-1545,-1545,2003,-1545,2003,Y,NULL,NULL,NULL,NULL,NULL,NULL,3572,3572,2003,3572,2003,Y,NULL,NULL,NULL,NULL,NULL,NULL,12142.7,18.2,12143,18,12142.7
9HE,7,2,40935.826,40935.826,46.816,N,40940,50,3349.0380,3349.038,5.2018,N,3349,5,15980,50,15980.9213,15980.9213,46.8169,N,9043946.414,9043946.414,50.259,N,9043950,50,1279.9373,1279.9373,47.4229,1280,47,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,29587.3755,29587.3755,46.8165,29587,47,N,NULL,NULL,NULL,NULL,NULL,NULL,11918.7038,11918.7038,46.8165,11919,47,N,-1254.8254,-1254.8254,46.8165,-1255,47,N,NULL,NULL,NULL,NULL,NULL,NULL,2512,2512,1005,2512,1005,Y,3924.1570,3924.157,258.4032,3924,258,N,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
9LI,6,3,24954.905,24954.905,0.186,N,24954.91,0.19,5037.7685,5037.7685,0.0207,N,5037.769,0.021,13606.45,0.20,13606.4541,13606.4541,0.2014,N,9026790.191,9026790.191,0.200,N,9026790.19,0.20,6094.8357,6094.8357,0.1864,6094.84,0.19,N,38758,38758,1004,38758,1004,Y,-10362.4579,-10362.4579,89.4429,-10362,89,N,12538.4192,12538.4192,0.9217,12538.4,0.9,N,NULL,NULL,NULL,NULL,NULL,NULL,11941.9153,11941.9153,0.1896,11941.92,0.19,N,4062.2175,4062.2175,0.1922,4062.22,0.19,N,13943.7489,13943.7489,0.2064,13943.75,0.21,N,9592.5845,9592.5845,7.5618,9593,8,N,12226.8651,12226.8651,0.1938,12226.87,0.19,N,-11274.4173,-11274.4173,254.1269,-11274,254,N,NULL,NULL,NULL,NULL,NULL,NULL,-15980.921,46.816,-15981,47,-15980.921
9BE,5,4,11348.451,11348.451,0.076,N,11348.45,0.08,6462.6693,6462.6693,0.0085,N,6462.669,0.009,-1068.0,0.9,-1068.0349,-1068.0349,0.8994,N,9012183.062,9012183.062,0.082,N,9012183.06,0.08,20563.1828,20563.1828,0.1040,20563.18,0.10,N,29302.6187,29302.6187,7.5599,29303,8,N,-2307.6989,-2307.6989,20.0001,-2308,20,N,-17562.5203,-17562.5203,2.1380,-17562.5,2.1,N,-27550.2030,-27550.203,0.1170,-27550.20,0.12,N,-19644.4361,-19644.4361,1.0028,-19644.4,1.0,N,1664.5388,1664.5388,0.0843,1664.54,0.08,N,16886.3247,16886.3247,0.0898,16886.32,0.09,N,7152.1533,7152.1533,0.0763,7152.15,0.08,N,2125.6257,2125.6257,0.0765,2125.63,0.08,N,-597.2420,-597.242,0.0930,-597.24,0.09,N,NULL,NULL,NULL,NULL,NULL,NULL,-13606.454,0.201,-13606.45,0.20,-13606.454
