,Iteration,Loss,Train_Loss,entropy
0,0,4.05255,3.6235735,48.11716
1,100,7.028638,0.15384771,45.90786
2,200,6.997843,0.14375608,40.92639
3,300,7.01601,0.13928188,36.4863
4,400,7.0230184,0.13669312,33.567944
5,500,7.024148,0.13506109,31.580359
6,600,7.005135,0.13372919,30.014008
7,700,6.9420524,0.13238594,28.61639
8,800,6.898835,0.13127285,27.586414
9,900,6.843416,0.13049589,26.863867
10,1000,6.788846,0.1299517,26.325212
11,1100,6.7411137,0.12932833,25.845701
12,1200,6.6684747,0.12890981,25.150177
13,1300,6.6198153,0.12838271,24.425243
14,1400,6.5066485,0.12770191,23.958426
15,1500,6.4184065,0.12716599,23.410685
16,1600,6.209098,0.1261585,22.743437
17,1700,5.8598795,0.12522398,21.981033
18,1800,5.6656156,0.12436126,21.233044
19,1900,5.4604406,0.12362104,20.377386
20,2000,5.387731,0.12310145,19.679493
21,2100,5.335327,0.12272777,19.136559
22,2200,5.2897744,0.1223992,18.812435
23,2300,5.2572584,0.12210238,18.56711
24,2400,5.227605,0.121984765,18.200802
25,2500,5.2055683,0.12162749,17.863415
26,2600,5.165211,0.12113739,17.487652
27,2700,5.1249495,0.12093532,17.345652
28,2800,5.017709,0.120454654,17.150347
29,2900,4.846405,0.11985277,16.767963
30,3000,4.745768,0.11943624,16.170801
31,3100,4.682563,0.11914529,15.827875
32,3200,4.657886,0.119001195,15.741986
33,3300,4.637379,0.11864364,15.682087
34,3400,4.624078,0.11863761,15.619965
35,3500,4.6073203,0.11863727,15.539331
36,3600,4.6005993,0.11855683,15.466632
37,3700,4.5925884,0.11852631,15.383249
38,3800,4.5896955,0.118542455,15.292972
39,3900,4.586346,0.118356965,15.176078
40,4000,4.578381,0.11840534,15.047562
41,4100,4.576269,0.11847081,14.995842
42,4200,4.5728335,0.11839851,14.974841
43,4300,4.5750046,0.11826512,14.963567
44,4400,4.573378,0.11832489,14.952782
45,4500,4.56948,0.11822304,14.939466
46,4600,4.5660906,0.11833738,14.93385
47,4700,4.563337,0.118402764,14.927805
48,4800,4.5592656,0.11826008,14.925374
49,4900,4.5579724,0.11813805,14.915076
50,5000,4.555388,0.118116856,14.900435
51,5100,4.5531745,0.11820903,14.904448
52,5200,4.555265,0.11815952,14.903733
53,5300,4.5547814,0.118204124,14.899601
54,5400,4.5559034,0.1181998,14.896596
55,5500,4.554126,0.11794804,14.893123
56,5600,4.5534754,0.11804411,14.890174
57,5700,4.552192,0.11804302,14.883749
58,5800,4.555484,0.118025914,14.880076
59,5900,4.5532293,0.11820962,14.878788
60,6000,4.555268,0.11803362,14.874851
61,6100,4.5545483,0.11805248,14.878682
62,6200,4.5564027,0.11804007,14.880442
63,6300,4.5527816,0.11800989,14.877657
