,Iteration,Loss,Train_Loss,entropy
0,0,4.129028,3.7452548,47.83053
1,100,4.317668,0.14611836,46.694763
2,200,0.5864122,0.09984839,24.323866
3,300,0.2643459,0.08474579,11.037089
4,400,0.2472823,0.082650065,9.963059
5,500,0.24710391,0.08218398,9.953683
6,600,0.24704486,0.08198382,9.950254
7,700,0.24562779,0.08178555,9.951264
8,800,0.2449603,0.08168144,9.9523535
9,900,0.24483761,0.08159875,9.952366
10,1000,0.24435656,0.08162078,9.952136
11,1100,0.24193917,0.08162654,9.9507
12,1200,0.24039172,0.08163246,9.949258
13,1300,0.24035999,0.081670865,9.948746
14,1400,0.24053065,0.08164891,9.948532
15,1500,0.24074477,0.08160889,9.948529
16,1600,0.24098417,0.08152694,9.94843
17,1700,0.24123362,0.08160622,9.948733
18,1800,0.24114631,0.08155129,9.948623
19,1900,0.24133593,0.0815591,9.949071
20,2000,0.24198318,0.08163356,9.948918
21,2100,0.24165821,0.08150263,9.949063
22,2200,0.24181338,0.08155297,9.949478
23,2300,0.242044,0.081612475,9.949261
24,2400,0.24231745,0.081670895,9.949312
25,2500,0.24174978,0.08154856,9.9491205
26,2600,0.24219663,0.081596635,9.948771
27,2700,0.24239002,0.0814858,9.948712
28,2800,0.24200699,0.08149166,9.948302
29,2900,0.24197818,0.0815289,9.948508
30,3000,0.24228047,0.08153203,9.948266
31,3100,0.24174717,0.081531994,9.948323
32,3200,0.24187216,0.08151042,9.9480505
33,3300,0.24174199,0.08146339,9.948178
34,3400,0.24209632,0.08147433,9.948146
35,3500,0.24183647,0.08147022,9.948297
36,3600,0.24180812,0.08144467,9.947875
37,3700,0.24216153,0.08152925,9.947629
38,3800,0.24224916,0.08160652,9.948148
39,3900,0.2418935,0.081635505,9.947683
40,4000,0.24163538,0.08146164,9.947436
41,4100,0.24184343,0.081449345,9.947358
42,4200,0.24221478,0.08153734,9.947106
43,4300,0.24309875,0.08142955,9.947164
44,4400,0.2419784,0.08150922,9.947237
45,4500,0.24221691,0.08152424,9.946869
46,4600,0.2420297,0.08151044,9.9469
47,4700,0.24162975,0.081443,9.947038
48,4800,0.24289177,0.08152761,9.946917
49,4900,0.24198559,0.08145636,9.947121
50,5000,0.24196047,0.081554554,9.946893
51,5100,0.24188754,0.08147573,9.947346
52,5200,0.24262087,0.081513464,9.946865
53,5300,0.24195856,0.08142258,9.946742
54,5400,0.24218981,0.08155914,9.946644
55,5500,0.2418114,0.081561886,9.946701
56,5600,0.24228963,0.08159945,9.946727
57,5700,0.24214324,0.08147051,9.946798
58,5800,0.24151275,0.08144399,9.946888
59,5900,0.24230392,0.08151859,9.94666
60,6000,0.24196759,0.08148772,9.946644
61,6100,0.24241133,0.081524946,9.946651
62,6200,0.242575,0.081569426,9.94669
63,6300,0.24156071,0.08150745,9.947216
64,6400,0.24259643,0.081363745,9.946948
65,6500,0.24122888,0.081437126,9.947192
66,6600,0.24196647,0.08140775,9.946556
67,6700,0.24255371,0.08144841,9.947073
68,6800,0.24246645,0.08153391,9.946715
69,6900,0.24186514,0.081520416,9.946865
70,7000,0.24130987,0.08148685,9.946739
71,7100,0.24221568,0.08144276,9.946684
72,7200,0.24254999,0.081505574,9.94672
73,7300,0.24248168,0.08147001,9.946481
74,7400,0.24200408,0.081465475,9.946535
75,7500,0.24242392,0.08143212,9.946173
76,7600,0.24214487,0.08145966,9.9465065
77,7700,0.24331105,0.08167144,9.946632
78,7800,0.24193111,0.08134123,9.946511
79,7900,0.2421799,0.081497595,9.946516
80,8000,0.24205117,0.08144461,9.946616
81,8100,0.24233398,0.081421755,9.946374
82,8200,0.24118695,0.08156696,9.946637
83,8300,0.24178903,0.08143456,9.946466
84,8400,0.24170539,0.08148179,9.946518
85,8500,0.24202384,0.081451505,9.946576
86,8600,0.24155276,0.08144563,9.946494
87,8700,0.24140944,0.08142024,9.946497
88,8800,0.24186419,0.081434466,9.946521
89,8900,0.24247539,0.081484415,9.946225
90,9000,0.24194738,0.081434496,9.946213
91,9100,0.24254182,0.08143966,9.946312
92,9200,0.24182476,0.08142057,9.946535
93,9300,0.24289218,0.0814166,9.946635
94,9400,0.24234772,0.08141373,9.946556
95,9500,0.24266468,0.08146136,9.94666
96,9600,0.24306267,0.08152827,9.946682
97,9700,0.24256323,0.08155678,9.9464855
98,9800,0.24227998,0.081382714,9.946594
99,9900,0.24163467,0.08144782,9.94682
