,Iteration,Loss,Train_Loss,entropy
0,0,4.051055,3.5364366,47.520355
1,100,7.0332785,0.11700734,42.323246
2,200,7.210105,0.10815902,32.897972
3,300,7.2818294,0.10446021,27.877497
4,400,7.317281,0.10239468,25.17504
5,500,7.350891,0.101055466,23.384623
6,600,7.373784,0.10037792,22.480215
7,700,7.385422,0.09967263,21.92459
8,800,7.39551,0.09898835,21.086994
9,900,7.390156,0.098446526,20.649736
10,1000,7.3892956,0.09805839,20.318365
11,1100,7.4010835,0.09771243,19.88957
12,1200,7.399984,0.09759149,19.6404
13,1300,7.415321,0.097374186,19.411352
14,1400,7.4239197,0.09724943,19.18016
15,1500,7.417207,0.09688791,19.074923
16,1600,7.409231,0.09691451,19.023539
17,1700,7.4041524,0.096680075,18.99081
18,1800,7.400736,0.09651021,18.972595
19,1900,7.398922,0.09651586,18.951136
20,2000,7.3994036,0.09646268,18.938374
21,2100,7.398795,0.09635748,18.923786
22,2200,7.4014497,0.09624694,18.89455
23,2300,7.3999143,0.096439674,18.870825
24,2400,7.39716,0.09646743,18.844982
25,2500,7.3914905,0.096485555,18.8254
26,2600,7.3908553,0.09650991,18.804838
27,2700,7.393303,0.096439995,18.782328
28,2800,7.393455,0.096338235,18.751905
29,2900,7.394399,0.096406296,18.709093
30,3000,7.401768,0.096098006,18.669659
31,3100,7.400918,0.09592969,18.639334
32,3200,7.3973355,0.09619045,18.60525
33,3300,7.401562,0.09583747,18.55537
34,3400,7.4026794,0.09600188,18.5004
35,3500,7.4017153,0.09601893,18.445377
36,3600,7.4060535,0.09598996,18.381563
37,3700,7.4155164,0.096114576,18.28057
38,3800,7.4344997,0.095973365,18.095125
39,3900,7.446805,0.09577109,17.76863
40,4000,7.46046,0.09581498,17.44421
41,4100,7.471347,0.095840886,17.189585
42,4200,7.472724,0.09580405,17.152395
43,4300,7.4754076,0.09569035,17.12797
44,4400,7.4725075,0.09562321,17.081064
45,4500,7.4687543,0.095526636,17.023216
46,4600,7.4628024,0.09547942,16.973036
47,4700,7.4653563,0.095448226,16.898054
48,4800,7.46157,0.09531589,16.802492
49,4900,7.4591193,0.09514166,16.664207
50,5000,7.4553924,0.09512585,16.56242
51,5100,7.4501467,0.09509921,16.553877
52,5200,7.452888,0.0950094,16.55029
53,5300,7.449713,0.09504626,16.54367
54,5400,7.445156,0.09492065,16.542124
55,5500,7.446589,0.094926655,16.542723
56,5600,7.441921,0.09501605,16.54065
57,5700,7.437782,0.09494071,16.541168
58,5800,7.4376473,0.09495307,16.539581
59,5900,7.437145,0.09491512,16.53843
60,6000,7.4356675,0.09479694,16.533958
61,6100,7.434959,0.09486119,16.533401
62,6200,7.433097,0.09474597,16.532711
63,6300,7.4305434,0.09484035,16.530092
64,6400,7.4313383,0.09472776,16.529982
65,6500,7.4327054,0.094757766,16.53006
66,6600,7.4321756,0.094869755,16.530682
67,6700,7.4264812,0.094813876,16.529781
68,6800,7.426697,0.09489275,16.529613
69,6900,7.426412,0.094753824,16.529024
70,7000,7.4249306,0.094779246,16.52725
71,7100,7.421763,0.094791986,16.526892
72,7200,7.4209824,0.0946934,16.525158
73,7300,7.420528,0.09473346,16.524532
74,7400,7.4231415,0.094631225,16.524418
75,7500,7.42203,0.09465785,16.523708
76,7600,7.419745,0.09461532,16.523201
77,7700,7.4209566,0.09459685,16.5224
78,7800,7.4180813,0.094742104,16.520483
79,7900,7.4174476,0.09456663,16.519089
80,8000,7.4145975,0.0945724,16.518427
81,8100,7.414099,0.09456282,16.516497
82,8200,7.4144607,0.09465176,16.514921
83,8300,7.4116096,0.09463592,16.515694
84,8400,7.4127903,0.094462,16.51287
85,8500,7.4192677,0.094531775,16.512793
86,8600,7.4120283,0.09463936,16.512886
87,8700,7.4132338,0.09459237,16.511938
88,8800,7.4109764,0.09466886,16.513689
89,8900,7.414141,0.094611466,16.514145
90,9000,7.412025,0.094585456,16.514019
91,9100,7.4126287,0.09451218,16.5148
92,9200,7.4117107,0.09458162,16.515875
93,9300,7.411585,0.094644964,16.515228
94,9400,7.41335,0.09460378,16.515083
95,9500,7.4114237,0.09461251,16.513659
96,9600,7.4166718,0.094461426,16.51437
97,9700,7.411277,0.09446184,16.512005
98,9800,7.409583,0.0947677,16.512907
99,9900,7.4098325,0.09459786,16.512873
100,10000,7.412045,0.09452435,16.512878
101,10100,7.407806,0.09453296,16.514797
102,10200,7.4079876,0.09462041,16.51324
103,10300,7.4092765,0.094444126,16.512135
104,10400,7.4092164,0.09451154,16.511843
105,10500,7.4093313,0.09454203,16.512423
106,10600,7.408565,0.09458153,16.510525
107,10700,7.408733,0.09448757,16.510956
108,10800,7.4107385,0.094537154,16.51076
109,10900,7.408259,0.09454751,16.51126
110,11000,7.406166,0.094476804,16.513678
111,11100,7.40912,0.09453263,16.510689
112,11200,7.410483,0.09453437,16.511316
113,11300,7.409949,0.094518326,16.511946
114,11400,7.4110336,0.09450224,16.512245
115,11500,7.410418,0.09445329,16.51232
116,11600,7.407565,0.09446663,16.511528
117,11700,7.4065447,0.09443016,16.513044
118,11800,7.4075046,0.094496414,16.511642
119,11900,7.407485,0.09448121,16.512146
120,12000,7.4083095,0.09457373,16.511177
121,12100,7.410062,0.09444388,16.512283
122,12200,7.4086766,0.0944812,16.512102
123,12300,7.408331,0.094488256,16.512753
124,12400,7.40703,0.09452878,16.511263
125,12500,7.405735,0.0946116,16.511858
126,12600,7.4092097,0.09454029,16.511969
127,12700,7.4094596,0.09454321,16.511673
128,12800,7.406816,0.09450559,16.511814
129,12900,7.4095592,0.094535634,16.512068
130,13000,7.4064965,0.09456207,16.511898
131,13100,7.408011,0.09449659,16.511583
132,13200,7.40711,0.094526574,16.512619
133,13300,7.406436,0.0945725,16.512993
134,13400,7.407279,0.09448654,16.512552
135,13500,7.4110665,0.094561316,16.512672
136,13600,7.40822,0.09456653,16.511969
137,13700,7.406007,0.09454465,16.51222
138,13800,7.4063997,0.094545886,16.51189
139,13900,7.4055743,0.09455241,16.511543
140,14000,7.409291,0.094570406,16.511665
141,14100,7.4074283,0.09447439,16.511465
142,14200,7.4076986,0.09448913,16.512386
143,14300,7.4083776,0.09450541,16.513374
144,14400,7.4075937,0.09451924,16.511808
145,14500,7.4074683,0.09450337,16.512602
146,14600,7.407651,0.0945099,16.513016
147,14700,7.406963,0.0945991,16.512917
148,14800,7.406962,0.09449729,16.512419
149,14900,7.4047227,0.0945151,16.513382
150,15000,7.4103355,0.09455667,16.513044
151,15100,7.408629,0.094574824,16.513771
152,15200,7.4063144,0.094552144,16.513264
153,15300,7.4076347,0.094551966,16.512806
154,15400,7.4076858,0.094467595,16.512142
155,15500,7.4086237,0.09445037,16.512383
156,15600,7.4068813,0.09451146,16.513485
157,15700,7.410869,0.09448493,16.512838
158,15800,7.406405,0.09451371,16.512587
159,15900,7.4082694,0.094439104,16.512512
160,16000,7.406284,0.0944952,16.511934
161,16100,7.407366,0.094481766,16.51361
162,16200,7.406056,0.094501495,16.513592
163,16300,7.407919,0.094476886,16.513985
164,16400,7.406294,0.09451892,16.514639
165,16500,7.407271,0.09450883,16.513985
166,16600,7.408151,0.09450671,16.514025
167,16700,7.404887,0.09453209,16.514181
168,16800,7.406963,0.09451782,16.514626
169,16900,7.4068656,0.094525285,16.51414
170,17000,7.4073496,0.09449211,16.514902
171,17100,7.4075556,0.09452838,16.514462
172,17200,7.407673,0.094565205,16.51357
173,17300,7.406315,0.09449249,16.514599
174,17400,7.410451,0.0944906,16.513744
175,17500,7.405869,0.09449908,16.513926
176,17600,7.4057307,0.09446306,16.513382
177,17700,7.4091706,0.09453396,16.513765
178,17800,7.409405,0.09451875,16.51463
179,17900,7.4066553,0.0944659,16.513996
180,18000,7.4086432,0.09446561,16.51397
181,18100,7.4052563,0.09447146,16.51467
182,18200,7.4060507,0.09447806,16.514492
183,18300,7.4077806,0.094466805,16.513882
184,18400,7.4065323,0.0945207,16.51353
185,18500,7.4051533,0.094467044,16.514011
186,18600,7.4105825,0.09441857,16.514614
187,18700,7.4070444,0.094520636,16.514843
188,18800,7.4084005,0.09447288,16.51421
189,18900,7.4064584,0.094457336,16.514015
190,19000,7.407745,0.09450509,16.514854
191,19100,7.4037657,0.09454878,16.514221
192,19200,7.406358,0.0945327,16.51468
193,19300,7.408277,0.09457418,16.512768
194,19400,7.408346,0.09452107,16.514044
195,19500,7.4081492,0.09443608,16.514883
196,19600,7.406573,0.09455729,16.514536
197,19700,7.407558,0.0945571,16.513556
198,19800,7.4062047,0.09461764,16.513618
199,19900,7.406515,0.09454829,16.5132
