,Iteration,Loss,Train_Loss,entropy
0,0,4.123729,3.6716602,47.828655
1,100,6.5168996,0.14846304,47.23803
2,200,3.8526297,0.12055468,40.411835
3,300,0.95953786,0.09147289,18.291443
4,400,0.5606821,0.08140531,10.560122
5,500,0.50538117,0.07761346,9.948947
6,600,0.495742,0.07682108,9.932329
7,700,0.49477896,0.076705314,9.928943
8,800,0.49562216,0.07659798,9.925358
9,900,0.49661028,0.07654212,9.921447
10,1000,0.49474645,0.07640924,9.912056
11,1100,0.49155483,0.07636654,9.900058
12,1200,0.49228737,0.0762769,9.8994255
13,1300,0.49308085,0.07630402,9.900249
14,1400,0.49335334,0.07624735,9.90082
15,1500,0.4941408,0.07621396,9.901479
16,1600,0.4949774,0.076234065,9.9015045
17,1700,0.49525118,0.07610556,9.90102
18,1800,0.4959179,0.07611366,9.900719
19,1900,0.49621758,0.07609723,9.900546
20,2000,0.4967001,0.076135635,9.900546
21,2100,0.49699366,0.07607603,9.899942
22,2200,0.49760768,0.076081015,9.899967
23,2300,0.4975932,0.076127864,9.900162
24,2400,0.497631,0.07611512,9.900126
25,2500,0.49808672,0.0761312,9.899533
26,2600,0.4977891,0.076131895,9.899746
27,2700,0.4983103,0.07604421,9.899333
28,2800,0.49805582,0.07610385,9.899626
29,2900,0.49808973,0.0760736,9.899453
30,3000,0.49801388,0.076032646,9.899285
31,3100,0.4980565,0.076108195,9.89938
32,3200,0.49904358,0.076069586,9.899295
33,3300,0.4988332,0.07608281,9.899255
34,3400,0.49839604,0.07589454,9.899018
35,3500,0.498554,0.0759924,9.898648
36,3600,0.49911106,0.07600279,9.898592
37,3700,0.49925464,0.07600058,9.8982525
38,3800,0.49985212,0.075991936,9.897824
39,3900,0.4991796,0.07593794,9.897483
40,4000,0.4998343,0.07593121,9.897352
41,4100,0.4996497,0.07593874,9.897208
42,4200,0.5001554,0.07584253,9.897091
43,4300,0.5000083,0.07597444,9.896668
44,4400,0.5006455,0.0759323,9.89688
45,4500,0.4998435,0.07593793,9.89626
46,4600,0.49956992,0.07592931,9.896433
47,4700,0.49950248,0.07586135,9.896154
48,4800,0.49939933,0.075935714,9.896284
49,4900,0.49923605,0.075962774,9.896336
50,5000,0.50092524,0.07592965,9.896198
51,5100,0.49941766,0.075933136,9.895876
52,5200,0.50021076,0.07594741,9.895843
53,5300,0.49780726,0.07594777,9.896043
54,5400,0.4993416,0.07587476,9.895428
55,5500,0.49978042,0.07588185,9.895215
56,5600,0.5002978,0.07591317,9.895309
57,5700,0.50067246,0.075908795,9.89513
58,5800,0.4991707,0.075892024,9.89538
59,5900,0.5000888,0.075882554,9.894762
60,6000,0.50003403,0.075963564,9.894753
61,6100,0.49931914,0.07585629,9.894597
62,6200,0.49959058,0.075885996,9.894192
63,6300,0.4984871,0.07589172,9.894486
64,6400,0.49998438,0.075869136,9.894288
65,6500,0.49977705,0.07590196,9.893946
66,6600,0.49976346,0.07593851,9.894112
67,6700,0.499857,0.075910725,9.893847
68,6800,0.49986544,0.07589185,9.893693
69,6900,0.5014842,0.07600185,9.89368
70,7000,0.50072014,0.075946875,9.893651
71,7100,0.5006385,0.075886436,9.893842
72,7200,0.5004423,0.07582974,9.893816
73,7300,0.49790734,0.07595064,9.893703
74,7400,0.49966165,0.07591674,9.893592
75,7500,0.5005084,0.07588828,9.893755
76,7600,0.49877796,0.075904675,9.893459
77,7700,0.5006521,0.075890526,9.893528
78,7800,0.49941424,0.07588484,9.893559
79,7900,0.4980273,0.075951345,9.893601
80,8000,0.50009084,0.07589277,9.893335
81,8100,0.5003677,0.07593125,9.893281
82,8200,0.4997624,0.07587632,9.893438
83,8300,0.50157315,0.075952865,9.893191
84,8400,0.49984857,0.07592789,9.893062
85,8500,0.50014824,0.075842254,9.8933325
86,8600,0.4990127,0.075876415,9.893241
87,8700,0.49920937,0.075953774,9.892873
88,8800,0.5006923,0.07588661,9.893187
89,8900,0.50072557,0.075828165,9.893363
90,9000,0.49967128,0.0758223,9.893387
91,9100,0.50030684,0.07592615,9.893347
92,9200,0.49943522,0.07584579,9.893118
93,9300,0.49873573,0.07581948,9.89299
94,9400,0.4995911,0.07586797,9.893419
95,9500,0.5003419,0.07585146,9.893552
96,9600,0.5001795,0.075929746,9.8932295
97,9700,0.501455,0.075898506,9.893491
98,9800,0.49928707,0.07592105,9.893158
99,9900,0.49839398,0.07592374,9.893479
100,10000,0.4995397,0.07585602,9.893587
101,10100,0.5006667,0.07591381,9.892905
102,10200,0.49946833,0.07587098,9.893496
103,10300,0.4992562,0.07591759,9.893297
104,10400,0.49861363,0.075833514,9.893528
105,10500,0.50200564,0.07608712,9.893292
106,10600,0.4988393,0.07585179,9.893224
107,10700,0.49996993,0.0758513,9.893363
108,10800,0.50057244,0.07587051,9.893458
109,10900,0.49866992,0.07585397,9.893398
110,11000,0.49919808,0.07585108,9.893656
111,11100,0.4989405,0.07583547,9.89364
112,11200,0.49935198,0.07585277,9.893521
113,11300,0.49860018,0.07588484,9.893544
114,11400,0.5000961,0.075891174,9.893802
115,11500,0.49981186,0.07587546,9.893384
116,11600,0.49849418,0.07584666,9.893191
117,11700,0.49982196,0.075909406,9.89354
118,11800,0.49986276,0.07586852,9.893717
119,11900,0.49924773,0.0758003,9.893356
120,12000,0.5003273,0.07586462,9.893446
121,12100,0.49948946,0.07581766,9.89327
122,12200,0.49989408,0.0759586,9.893517
123,12300,0.49965814,0.075827986,9.893448
124,12400,0.49922678,0.0758345,9.893441
125,12500,0.4996055,0.0758496,9.893705
126,12600,0.50175506,0.07594457,9.893496
127,12700,0.49983233,0.075854816,9.893191
128,12800,0.4985367,0.0758908,9.893144
129,12900,0.4989947,0.075817265,9.893398
130,13000,0.49912354,0.07590712,9.893227
131,13100,0.4992549,0.075856775,9.893483
132,13200,0.49912098,0.07586812,9.893187
133,13300,0.49952793,0.07585099,9.8932295
134,13400,0.49997526,0.07584224,9.893893
135,13500,0.50004303,0.07593058,9.893488
136,13600,0.5005851,0.07585658,9.893446
137,13700,0.49899864,0.07582202,9.89339
138,13800,0.49838573,0.07586035,9.893493
139,13900,0.49848813,0.075901926,9.893337
140,14000,0.49954805,0.07593386,9.893326
141,14100,0.50010884,0.07587278,9.893408
142,14200,0.50078475,0.07588763,9.893606
143,14300,0.50008714,0.07586364,9.893717
144,14400,0.5001182,0.07594053,9.893691
145,14500,0.5000705,0.07587017,9.893354
146,14600,0.4981606,0.07587796,9.893315
147,14700,0.49878192,0.07592803,9.89358
148,14800,0.49905047,0.07587357,9.893559
149,14900,0.5011344,0.0759169,9.89391
150,15000,0.49926662,0.07584385,9.893411
151,15100,0.49834633,0.07590694,9.893595
152,15200,0.49914134,0.07589109,9.893337
153,15300,0.49978274,0.07585214,9.89355
154,15400,0.49847955,0.0758627,9.893555
155,15500,0.5003997,0.075940266,9.893424
156,15600,0.49867177,0.07584931,9.893441
157,15700,0.50066537,0.075872384,9.893688
158,15800,0.49877596,0.07589746,9.893701
159,15900,0.49837223,0.07593047,9.893637
160,16000,0.49940765,0.075856395,9.893144
161,16100,0.4996698,0.07586622,9.893504
162,16200,0.4983905,0.075791486,9.893271
163,16300,0.4989267,0.0758962,9.893057
164,16400,0.49875122,0.075846046,9.893274
165,16500,0.4992812,0.075862005,9.893464
166,16600,0.49924064,0.07585576,9.893394
167,16700,0.5001539,0.0758838,9.893828
168,16800,0.4993166,0.07587713,9.893375
169,16900,0.49844593,0.07586184,9.893382
170,17000,0.49931097,0.07587774,9.893384
171,17100,0.50159204,0.07590262,9.893323
172,17200,0.49919036,0.075861715,9.893219
173,17300,0.4982812,0.075842105,9.893441
174,17400,0.49948257,0.07591577,9.8934765
175,17500,0.5007271,0.07587304,9.893483
176,17600,0.4982688,0.07586273,9.893396
177,17700,0.49911806,0.07590576,9.893595
178,17800,0.49788418,0.07589651,9.89339
179,17900,0.49941686,0.07587321,9.893741
180,18000,0.49950424,0.075873025,9.893142
181,18100,0.49860436,0.07588894,9.893475
182,18200,0.49913007,0.07596422,9.893821
183,18300,0.4996645,0.07578084,9.893656
184,18400,0.498819,0.07585142,9.893331
185,18500,0.4999352,0.07590916,9.893458
186,18600,0.49938947,0.07585482,9.893603
187,18700,0.4991242,0.07595472,9.893419
188,18800,0.4989836,0.07584616,9.893802
189,18900,0.5003638,0.07589532,9.893611
190,19000,0.49856836,0.07584883,9.893139
191,19100,0.5001965,0.07588488,9.89343
192,19200,0.49877083,0.0758625,9.893559
193,19300,0.49887377,0.075879484,9.893488
194,19400,0.49982575,0.07587996,9.893579
195,19500,0.4979258,0.0758094,9.893081
196,19600,0.49863634,0.075822614,9.893387
197,19700,0.49998346,0.07589847,9.893504
198,19800,0.49861518,0.075895265,9.893278
199,19900,0.4995131,0.075904205,9.893507
