,Iteration,Loss,a_entropy,b_entropy
0,0,1.0076962,46.036514,46.266884
1,100,0.84840584,46.035946,46.223892
2,200,0.3990134,46.035816,46.0675
3,300,0.28032738,45.814972,45.825222
4,400,0.24020669,45.55147,45.584236
5,500,0.22359808,45.3489,45.408295
6,600,0.21847323,45.209614,45.297764
7,700,0.21745737,45.097958,45.23435
8,800,0.22135848,44.988804,45.182873
9,900,0.22510839,44.87935,45.11516
10,1000,0.22849098,44.751225,45.03232
11,1100,0.23143175,44.59759,44.91785
12,1200,0.23368683,44.41597,44.773914
13,1300,0.23583613,44.211956,44.600338
14,1400,0.23846593,43.96458,44.379715
15,1500,0.24077724,43.668354,44.09989
16,1600,0.24277146,43.307625,43.77792
17,1700,0.24472268,42.885,43.39789
18,1800,0.24697664,42.39095,42.934563
19,1900,0.24879892,41.819397,42.387596
20,2000,0.250819,41.18385,41.749893
21,2100,0.25295588,40.483215,41.04204
22,2200,0.25521323,39.704525,40.26976
23,2300,0.25734442,38.854073,39.421295
24,2400,0.25938785,37.956127,38.51284
25,2500,0.26101646,37.01422,37.55157
26,2600,0.2621842,36.041164,36.543438
27,2700,0.26338866,35.038315,35.50323
28,2800,0.26460963,34.039566,34.47267
29,2900,0.26575777,33.047417,33.47418
30,3000,0.26695877,32.09773,32.51326
31,3100,0.26800448,31.219938,31.59698
32,3200,0.26981726,30.398867,30.736382
33,3300,0.27118167,29.649523,29.933348
34,3400,0.27259088,28.981155,29.201794
35,3500,0.27379864,28.346712,28.54776
36,3600,0.27531254,27.799147,27.952059
37,3700,0.27618012,27.304398,27.421738
38,3800,0.27673423,26.877989,26.969301
39,3900,0.27721465,26.524694,26.60428
40,4000,0.27857006,26.212759,26.285395
41,4100,0.2794106,25.970514,25.998888
42,4200,0.2800635,25.74562,25.751673
43,4300,0.2814512,25.533033,25.53505
44,4400,0.28260797,25.376644,25.34828
45,4500,0.28364274,25.252989,25.201096
46,4600,0.28467894,25.147455,25.054567
47,4700,0.28599927,25.06203,24.924442
48,4800,0.28681558,24.992931,24.823324
49,4900,0.28807217,24.914627,24.731197
50,5000,0.2889934,24.833467,24.64801
51,5100,0.29017657,24.741879,24.573198
52,5200,0.29083413,24.690859,24.498823
53,5300,0.29169217,24.642282,24.4356
54,5400,0.29245847,24.611116,24.37897
55,5500,0.29344442,24.492147,24.33637
56,5600,0.2943106,24.520258,24.293583
57,5700,0.2950604,24.488125,24.256369
58,5800,0.29550025,24.477776,24.225008
59,5900,0.29620108,24.455359,24.19236
60,6000,0.29658756,24.42811,24.161976
61,6100,0.29729822,24.404894,24.134375
62,6200,0.29813808,24.393219,24.112185
63,6300,0.29848725,24.36515,24.096197
64,6400,0.29924086,24.34228,24.084412
65,6500,0.2996921,24.326168,24.059038
66,6600,0.3000795,24.324879,24.04585
67,6700,0.30047792,24.332966,24.028725
68,6800,0.3012284,24.311916,24.007658
69,6900,0.30146378,24.311766,23.983953
70,7000,0.30182096,24.316322,23.963694
71,7100,0.3022577,24.308947,23.960367
72,7200,0.30249178,24.289616,23.957867
73,7300,0.3027119,24.296211,23.957985
74,7400,0.30286518,24.269981,23.95694
75,7500,0.30318543,24.289383,23.947323
76,7600,0.30330092,24.255558,23.948837
77,7700,0.30340397,24.280727,23.948442
78,7800,0.30369648,24.281933,23.939116
79,7900,0.30401936,24.276108,23.935719
80,8000,0.3042973,24.274523,23.93875
81,8100,0.30465382,24.236517,23.93964
82,8200,0.30485848,24.276323,23.919294
83,8300,0.3050026,24.27373,23.91697
84,8400,0.30514666,24.245857,23.91118
85,8500,0.3051926,24.266605,23.900637
86,8600,0.30548364,24.253517,23.887016
87,8700,0.30569142,24.242256,23.8818
88,8800,0.3056837,24.25212,23.870934
89,8900,0.30599186,24.249111,23.868946
90,9000,0.3060097,24.236685,23.869282
91,9100,0.30630594,24.25109,23.864197
92,9200,0.306333,24.258116,23.875612
93,9300,0.30666187,24.253212,23.867235
94,9400,0.3069415,24.255709,23.870815
95,9500,0.30704078,24.263742,23.875942
96,9600,0.30723616,24.270061,23.8777
97,9700,0.3076036,24.25504,23.876596
98,9800,0.30771863,24.26706,23.871748
99,9900,0.30807123,24.252222,23.878736
100,10000,0.30830505,24.239603,23.87523
101,10100,0.30875954,24.256796,23.88204
102,10200,0.30911782,24.267672,23.876858
103,10300,0.30941164,24.263748,23.877985
104,10400,0.30978358,24.25372,23.883383
105,10500,0.31013286,24.266508,23.886208
106,10600,0.31010848,24.26191,23.887272
107,10700,0.31032017,24.250599,23.884338
108,10800,0.31063786,24.232803,23.881493
109,10900,0.31065953,24.248974,23.878817
110,11000,0.31074834,24.248985,23.873386
111,11100,0.31114697,24.25653,23.871416
112,11200,0.31120366,24.244482,23.869589
113,11300,0.31135464,24.24906,23.855299
114,11400,0.31156462,24.22956,23.84067
115,11500,0.3117432,24.221844,23.841543
116,11600,0.31205586,24.190865,23.844393
117,11700,0.31204256,24.18183,23.848173
118,11800,0.3122875,24.206522,23.854668
119,11900,0.3126187,24.194954,23.854092
120,12000,0.31279272,24.194475,23.855383
121,12100,0.31301832,24.190582,23.850512
122,12200,0.31303516,24.174934,23.840515
123,12300,0.31342432,24.185865,23.848549
124,12400,0.31360823,24.176363,23.836395
125,12500,0.31377932,24.171263,23.83244
126,12600,0.31399727,24.17626,23.83231
127,12700,0.31409323,24.153566,23.834692
128,12800,0.31418666,24.164015,23.836447
129,12900,0.3140904,24.145712,23.836958
130,13000,0.31413087,24.168472,23.835445
131,13100,0.3142239,24.168543,23.837383
132,13200,0.31421852,24.15732,23.83801
133,13300,0.3140819,24.163462,23.8289
134,13400,0.31441936,24.1409,23.834543
135,13500,0.31474283,24.084015,23.841988
136,13600,0.31477767,24.127367,23.827667
137,13700,0.31490055,24.12766,23.827366
138,13800,0.3152248,24.125698,23.828588
139,13900,0.3158809,24.133368,23.83165
140,14000,0.31562003,24.13763,23.831242
141,14100,0.31589514,24.122496,23.831621
142,14200,0.31598678,24.114014,23.829088
143,14300,0.31593236,24.1105,23.82464
144,14400,0.31616846,24.10666,23.821693
145,14500,0.3165216,24.09764,23.814741
146,14600,0.3163685,24.11775,23.806402
147,14700,0.31673166,24.114197,23.801498
148,14800,0.31686896,24.115858,23.79675
149,14900,0.3170008,24.107224,23.792965
150,15000,0.31709203,24.096106,23.782122
151,15100,0.31724128,24.110968,23.778986
152,15200,0.31732002,24.093164,23.774157
153,15300,0.317281,24.11519,23.764793
154,15400,0.3176219,24.09815,23.76535
155,15500,0.31779093,24.100834,23.760761
156,15600,0.31793427,24.09225,23.756422
157,15700,0.3181369,24.089638,23.748724
158,15800,0.31836668,24.081244,23.737093
159,15900,0.31862986,24.079119,23.73672
160,16000,0.31875423,24.077736,23.730381
161,16100,0.3189232,24.081238,23.724669
162,16200,0.31916052,24.064884,23.716486
163,16300,0.3192995,24.052608,23.717842
164,16400,0.31964028,24.058115,23.712498
165,16500,0.31979042,24.058863,23.717989
166,16600,0.3201042,24.066835,23.718346
167,16700,0.319981,24.037636,23.732378
168,16800,0.32010767,24.054691,23.721489
169,16900,0.32034844,24.052666,23.72271
170,17000,0.32026264,24.053068,23.731647
171,17100,0.3201799,24.030071,23.725245
172,17200,0.3202371,24.012362,23.736198
173,17300,0.3202337,24.0303,23.729992
174,17400,0.32045302,24.029968,23.727192
175,17500,0.32061514,24.01955,23.732124
176,17600,0.320502,24.010233,23.730959
177,17700,0.3204356,24.01994,23.733969
178,17800,0.32055837,24.005318,23.735445
179,17900,0.32055348,24.021393,23.736786
180,18000,0.32071438,24.016005,23.735916
181,18100,0.32066742,24.011171,23.731457
182,18200,0.32061645,24.021708,23.734217
183,18300,0.32084987,24.02141,23.726942
184,18400,0.32078838,24.00117,23.725962
185,18500,0.32090774,23.987667,23.735418
186,18600,0.3209341,24.022493,23.722893
187,18700,0.32083535,24.00698,23.730642
188,18800,0.32087108,24.014809,23.731693
189,18900,0.3209807,24.007612,23.732357
190,19000,0.32100612,23.993118,23.733301
191,19100,0.32109395,23.990242,23.733278
192,19200,0.320953,23.989693,23.738146
193,19300,0.3210253,23.9941,23.734697
194,19400,0.3208746,23.925318,23.73441
195,19500,0.3208881,23.976402,23.72241
196,19600,0.32082433,23.973019,23.719566
197,19700,0.32082063,23.96896,23.725029
198,19800,0.3208098,23.974808,23.716875
199,19900,0.32096326,23.977856,23.72211
