,Iteration,Loss,Train_Loss,a_entropy,b_entropy
0,0,9.554348,8.368177,47.56153,47.56153
1,100,17.052376,1.496368,44.933937,44.933937
2,200,17.005636,1.4813528,39.745155,39.745155
3,300,17.140396,1.4767562,35.20331,35.20331
4,400,17.270775,1.4741648,32.026577,32.026577
5,500,17.35648,1.4727838,29.744007,29.744007
6,600,17.408474,1.4732246,28.132774,28.132774
7,700,17.458225,1.4729215,27.063122,27.063122
8,800,17.487867,1.4760684,26.18886,26.18886
9,900,17.50737,1.4722761,25.37932,25.37932
10,1000,17.509113,1.4730743,24.713142,24.713142
11,1100,17.51076,1.4724578,24.18693,24.18693
12,1200,17.519896,1.4699455,23.757702,23.757702
13,1300,17.516388,1.4695938,23.385815,23.385815
14,1400,17.511045,1.4714904,23.06681,23.06681
15,1500,17.523806,1.470021,22.804081,22.804081
16,1600,17.510181,1.468845,22.617914,22.617914
17,1700,17.495638,1.4691776,22.467827,22.467827
18,1800,17.488926,1.4697589,22.336025,22.336025
19,1900,17.493254,1.4693224,22.22617,22.22617
20,2000,17.494314,1.4688889,22.139137,22.139137
21,2100,17.465776,1.4704821,22.079563,22.079563
22,2200,17.44078,1.4695582,22.028234,22.028234
23,2300,17.457436,1.469488,21.973831,21.973831
24,2400,17.450825,1.4710964,21.923178,21.923178
25,2500,17.421324,1.472669,21.876728,21.876728
26,2600,17.424267,1.470841,21.822578,21.822578
27,2700,17.413622,1.4706327,21.768269,21.768269
28,2800,17.414793,1.4691738,21.7064,21.7064
29,2900,17.390146,1.4699855,21.651829,21.651829
30,3000,17.398083,1.468865,21.577312,21.577312
31,3100,17.397964,1.4682701,21.510773,21.510773
32,3200,17.39929,1.4669816,21.444614,21.444614
33,3300,17.374037,1.4697971,21.3857,21.3857
34,3400,17.332056,1.4708178,21.32787,21.32787
35,3500,17.365328,1.4720496,21.251043,21.251043
36,3600,17.358212,1.468391,21.194853,21.194853
37,3700,17.359135,1.4684627,21.139542,21.139542
38,3800,17.33934,1.4679729,21.100237,21.100237
39,3900,17.334044,1.4691157,21.071787,21.071787
40,4000,17.330692,1.4717592,21.036543,21.036543
41,4100,17.30763,1.4703534,21.010174,21.010174
42,4200,17.317667,1.4693915,20.975708,20.975708
43,4300,17.303389,1.4676365,20.944908,20.944908
44,4400,17.309444,1.4678417,20.907112,20.907112
45,4500,17.289291,1.4679729,20.875952,20.875952
46,4600,17.285765,1.4706634,20.838228,20.838228
47,4700,17.292072,1.4671236,20.803505,20.803505
48,4800,17.28803,1.4687591,20.766996,20.766996
49,4900,17.274265,1.4679095,20.732134,20.732134
50,5000,17.272299,1.4669104,20.696596,20.696596
51,5100,17.285002,1.4664083,20.656282,20.656282
52,5200,17.282352,1.4679456,20.622263,20.622263
53,5300,17.278616,1.4679755,20.582485,20.582485
54,5400,17.252777,1.4687222,20.548996,20.548996
55,5500,17.2762,1.4675974,20.508207,20.508207
56,5600,17.277853,1.467306,20.476553,20.476553
57,5700,17.255465,1.4685366,20.437656,20.437656
58,5800,17.271248,1.4666883,20.409502,20.409502
59,5900,17.26964,1.4674479,20.383547,20.383547
60,6000,17.271885,1.4698775,20.363642,20.363642
61,6100,17.285013,1.4660747,20.345156,20.345156
62,6200,17.286669,1.4671868,20.329126,20.329126
63,6300,17.27658,1.4662865,20.315779,20.315779
64,6400,17.275526,1.4666114,20.301695,20.301695
65,6500,17.276361,1.4660983,20.283545,20.283545
66,6600,17.281084,1.4665029,20.27214,20.27214
67,6700,17.263657,1.4669824,20.257303,20.257303
68,6800,17.269363,1.4668363,20.245962,20.245962
69,6900,17.279404,1.468128,20.230953,20.230953
70,7000,17.278793,1.4671493,20.21674,20.21674
71,7100,17.273315,1.4680362,20.20353,20.20353
72,7200,17.261005,1.4689146,20.19071,20.19071
73,7300,17.287018,1.4665384,20.171654,20.171654
74,7400,17.28957,1.468766,20.156227,20.156227
75,7500,17.290045,1.4665639,20.145403,20.145403
76,7600,17.291452,1.4665409,20.124506,20.124506
77,7700,17.297209,1.4672538,20.109423,20.109423
78,7800,17.30548,1.466108,20.094978,20.094978
79,7900,17.292973,1.4683079,20.083324,20.083324
80,8000,17.278442,1.4690146,20.066387,20.066387
81,8100,17.290495,1.4662775,20.047205,20.047205
82,8200,17.276403,1.4674461,20.032133,20.032133
83,8300,17.274176,1.4672265,20.018038,20.018038
84,8400,17.281929,1.4656026,20.002766,20.002766
85,8500,17.269497,1.467501,19.984585,19.984585
86,8600,17.275589,1.4656917,19.96866,19.96866
87,8700,17.26098,1.4675876,19.94697,19.94697
88,8800,17.262022,1.4656368,19.929071,19.929071
89,8900,17.264978,1.4657091,19.908382,19.908382
90,9000,17.256397,1.4670249,19.885706,19.885706
91,9100,17.256237,1.4653165,19.862396,19.862396
92,9200,17.253824,1.4656495,19.837685,19.837685
93,9300,17.23144,1.466804,19.815445,19.815445
94,9400,17.248755,1.4658822,19.787296,19.787296
95,9500,17.237135,1.4670068,19.763983,19.763983
96,9600,17.244867,1.4656694,19.74601,19.74601
97,9700,17.229223,1.4673715,19.722857,19.722857
98,9800,17.21959,1.4731137,19.700935,19.700935
99,9900,17.231888,1.4678259,19.675222,19.675222
