,Iteration,Loss,a_entropy,b_entropy
0,0,1.0077062,46.036484,46.26697
1,100,0.8481717,46.03342,46.220024
2,200,0.39948696,46.026707,46.06697
3,300,0.27908045,45.786835,45.822937
4,400,0.23970257,45.481693,45.550343
5,500,0.2225328,45.23535,45.3241
6,600,0.21695831,45.041435,45.14509
7,700,0.21594,44.882965,45.01759
8,800,0.21749602,44.760975,44.903984
9,900,0.22050996,44.647903,44.790913
10,1000,0.22359364,44.49431,44.6728
11,1100,0.22683907,44.32266,44.522213
12,1200,0.22942822,44.10251,44.33719
13,1300,0.23193726,43.873463,44.108177
14,1400,0.23442952,43.62722,43.846806
15,1500,0.23662433,43.322617,43.53582
16,1600,0.23889849,42.991116,43.170914
17,1700,0.24125026,42.630527,42.74999
18,1800,0.24420346,42.199295,42.263123
19,1900,0.24699853,41.732296,41.692368
20,2000,0.24955961,41.19986,41.069225
21,2100,0.2517246,40.61981,40.373398
22,2200,0.25361642,39.994804,39.607822
23,2300,0.2553929,39.296528,38.7842
24,2400,0.25681198,38.58014,37.871857
25,2500,0.25780424,37.802715,36.91195
26,2600,0.25934273,37.003483,35.927223
27,2700,0.26083183,36.177917,34.90132
28,2800,0.26267436,35.307404,33.887455
29,2900,0.2638614,34.488487,32.901943
30,3000,0.26556766,33.619625,31.928106
31,3100,0.26738557,32.82364,31.011028
32,3200,0.2691353,31.988285,30.167751
33,3300,0.27004334,31.234526,29.36649
34,3400,0.27131486,30.462627,28.647505
35,3500,0.27236465,29.763458,27.97272
36,3600,0.2738736,29.145128,27.417025
37,3700,0.27521932,28.546991,26.90274
38,3800,0.27700558,27.987154,26.450415
39,3900,0.2787512,27.489384,26.081778
40,4000,0.28028518,27.081697,25.752472
41,4100,0.28159717,26.62626,25.433453
42,4200,0.28260967,26.255617,25.143606
43,4300,0.28441012,25.974724,24.932472
44,4400,0.28617397,25.633787,24.695599
45,4500,0.28725567,25.454062,24.561905
46,4600,0.28845292,25.200579,24.399588
47,4700,0.28920352,24.990067,24.268076
48,4800,0.28961274,24.845663,24.157253
49,4900,0.29047078,24.636553,24.023903
50,5000,0.2909228,24.524431,23.921541
51,5100,0.29202664,24.417076,23.855543
52,5200,0.2920082,24.312193,23.762413
53,5300,0.29274353,24.167006,23.69695
54,5400,0.29298887,24.117014,23.617393
55,5500,0.29383034,23.99758,23.523985
56,5600,0.29443595,23.896654,23.510717
57,5700,0.2953059,23.885984,23.462244
58,5800,0.29609594,23.778278,23.423615
59,5900,0.29676297,23.762806,23.39183
60,6000,0.2972299,23.646727,23.327778
61,6100,0.2978358,23.676619,23.328234
62,6200,0.29853508,23.600363,23.315584
63,6300,0.2987637,23.556929,23.241241
64,6400,0.30002528,23.411945,23.23698
65,6500,0.30033693,23.41228,23.209375
66,6600,0.3007581,23.41908,23.193941
67,6700,0.3016716,23.40152,23.21512
68,6800,0.30212504,23.392496,23.221136
69,6900,0.30276507,23.306208,23.1771
70,7000,0.3036209,23.30927,23.15687
71,7100,0.30416062,23.299843,23.160261
72,7200,0.30419123,23.241608,23.126814
73,7300,0.3051937,23.166264,23.149975
74,7400,0.3055103,23.165817,23.112827
75,7500,0.30590317,23.127594,23.14016
76,7600,0.30592713,23.14272,23.119503
77,7700,0.30686352,23.19105,23.151207
78,7800,0.30758592,23.04984,23.13376
79,7900,0.30800354,23.080652,23.104652
80,8000,0.308607,23.10514,23.102333
81,8100,0.30863857,23.049286,23.070183
82,8200,0.30877805,22.98377,23.080442
83,8300,0.3087044,23.00639,23.040693
84,8400,0.3095922,23.033772,23.066525
85,8500,0.30942294,23.041672,23.056799
86,8600,0.30988497,22.810123,23.000917
87,8700,0.31006053,22.885372,23.007559
88,8800,0.309615,22.911703,22.97463
89,8900,0.31040952,22.940948,22.967249
90,9000,0.31040925,22.928003,22.968794
91,9100,0.31055778,22.88426,22.96168
92,9200,0.3110378,22.932121,22.989092
93,9300,0.3110077,22.91672,22.980848
94,9400,0.31198606,22.931765,23.000002
95,9500,0.3115704,22.928497,23.00112
96,9600,0.3115492,22.9174,22.989403
97,9700,0.31249306,22.80088,23.010336
98,9800,0.31248793,22.835136,22.978039
99,9900,0.3123979,22.856964,22.950218
100,10000,0.31231537,22.868093,22.957653
101,10100,0.3136679,22.840439,22.95996
102,10200,0.31361791,22.802359,22.98006
103,10300,0.3135057,22.825312,22.954082
104,10400,0.31401893,22.756063,22.950651
105,10500,0.31413513,22.703558,22.931562
106,10600,0.31408843,22.766174,22.934465
107,10700,0.31414422,22.791737,22.933475
108,10800,0.31425047,22.71919,22.912058
109,10900,0.3145741,22.721985,22.882896
110,11000,0.3142704,22.725626,22.901638
111,11100,0.31452,22.728086,22.88829
112,11200,0.31471217,22.651987,22.889776
113,11300,0.31471685,22.64603,22.864784
114,11400,0.31502223,22.673645,22.837057
115,11500,0.31506136,22.700825,22.864462
116,11600,0.31565872,22.554682,22.849781
117,11700,0.31529483,22.581387,22.830593
118,11800,0.3149962,22.642462,22.83229
119,11900,0.3152062,22.603191,22.815708
120,12000,0.31559002,22.577488,22.80181
121,12100,0.31525132,22.61313,22.795471
122,12200,0.31517243,22.55459,22.780058
123,12300,0.31579545,22.549343,22.81703
124,12400,0.31558457,22.569956,22.773705
125,12500,0.31653947,22.511871,22.747406
126,12600,0.3166044,22.51202,22.732943
127,12700,0.31650802,22.502914,22.712994
128,12800,0.31660914,22.581009,22.755543
129,12900,0.3167945,22.550425,22.76858
130,13000,0.31708878,22.556753,22.760303
131,13100,0.31700012,22.561993,22.76216
132,13200,0.31725886,22.557022,22.761307
133,13300,0.31652904,22.50798,22.706491
134,13400,0.31692058,22.369953,22.710867
135,13500,0.31745946,22.416418,22.685524
136,13600,0.31711152,22.47507,22.677828
137,13700,0.31710073,22.440958,22.709703
138,13800,0.3170242,22.460333,22.67886
139,13900,0.31744832,22.47288,22.680584
140,14000,0.3177352,22.498777,22.72294
141,14100,0.31803843,22.420523,22.690468
142,14200,0.3179236,22.454866,22.648785
143,14300,0.3176284,22.484182,22.643639
144,14400,0.3186202,22.402142,22.628405
145,14500,0.31872326,22.451174,22.600145
146,14600,0.3185887,22.34758,22.56082
147,14700,0.31912974,22.420935,22.562798
148,14800,0.3191478,22.376263,22.561552
149,14900,0.31951144,22.42819,22.551998
150,15000,0.3188989,22.376696,22.503855
151,15100,0.31993505,22.4032,22.543926
152,15200,0.31970286,22.363506,22.517868
153,15300,0.3191555,22.391783,22.490969
154,15400,0.32005084,22.287725,22.522703
155,15500,0.31982714,22.363153,22.503994
156,15600,0.31970668,22.373243,22.478731
157,15700,0.3195342,22.348804,22.457382
158,15800,0.3200512,22.320679,22.448915
159,15900,0.3199119,22.350382,22.46251
160,16000,0.32036087,22.345491,22.467854
161,16100,0.3208539,22.236345,22.4877
162,16200,0.32040992,22.234804,22.404396
163,16300,0.32006186,22.282078,22.388624
164,16400,0.32109088,22.328428,22.392546
165,16500,0.3207042,22.26625,22.391174
166,16600,0.3207661,22.325798,22.394117
167,16700,0.3207256,22.303034,22.378408
168,16800,0.320912,22.30498,22.370983
169,16900,0.32107472,22.312826,22.37628
170,17000,0.32124585,22.30274,22.402842
171,17100,0.32072428,22.271046,22.360558
172,17200,0.32156655,22.266687,22.359806
173,17300,0.32146457,22.299402,22.33025
174,17400,0.3215712,22.20178,22.321428
175,17500,0.32157138,22.274767,22.335127
176,17600,0.32120475,22.286507,22.326618
177,17700,0.3218147,22.32862,22.352743
178,17800,0.32187328,22.26502,22.327011
179,17900,0.32158437,22.25884,22.311607
180,18000,0.3211882,22.267935,22.309011
181,18100,0.32111055,22.241549,22.283129
182,18200,0.3210332,22.18681,22.306627
183,18300,0.32087478,22.23252,22.253408
184,18400,0.32205537,22.253508,22.263018
185,18500,0.32097754,22.28044,22.28885
186,18600,0.32143086,22.187462,22.28401
187,18700,0.32137907,22.259462,22.277178
188,18800,0.32110086,22.255812,22.2749
189,18900,0.32093328,22.207424,22.249662
190,19000,0.32116958,22.249481,22.259308
191,19100,0.32113403,22.26517,22.248474
192,19200,0.3212945,22.216257,22.28553
193,19300,0.32102376,22.260529,22.27309
194,19400,0.32083476,22.220009,22.246658
195,19500,0.32140112,22.22664,22.226023
196,19600,0.32079092,22.210102,22.235058
197,19700,0.3214258,22.1929,22.236986
198,19800,0.32128686,22.251423,22.232979
199,19900,0.3216259,22.208748,22.224924
