,Iteration,Loss,Train_Loss,entropy
0,0,4.1062655,3.5933197,47.548676
1,100,7.138576,0.12937468,45.391396
2,200,6.917751,0.11782226,40.264774
3,300,6.4275656,0.11313433,35.168583
4,400,5.2722435,0.107910454,28.610344
5,500,3.5893016,0.10103985,20.565449
6,600,2.436494,0.09515848,14.319788
7,700,1.4315916,0.09151773,9.426558
8,800,1.2829536,0.090542436,7.876317
9,900,1.2678989,0.08995604,7.5005655
10,1000,1.2587231,0.0895186,7.2507243
11,1100,1.2465211,0.08927848,7.1838365
12,1200,1.20687,0.08918748,6.9598784
13,1300,1.1936116,0.08907179,6.860208
14,1400,1.1888807,0.088968836,6.8596263
15,1500,1.1870422,0.088783585,6.859953
16,1600,1.1905855,0.0886747,6.8586063
17,1700,1.1962847,0.08860619,6.858671
18,1800,1.1984924,0.08859618,6.8586435
19,1900,1.2017375,0.088545166,6.8581767
20,2000,1.1988305,0.088567145,6.857177
21,2100,1.1968957,0.08853334,6.856648
22,2200,1.1991012,0.088548206,6.856597
23,2300,1.2009492,0.08851457,6.856472
24,2400,1.2011636,0.08852469,6.856894
25,2500,1.2021984,0.08854105,6.856023
26,2600,1.203724,0.08856989,6.855441
27,2700,1.2030201,0.08856716,6.854759
28,2800,1.2044412,0.088567175,6.854781
29,2900,1.2064772,0.08867687,6.855006
30,3000,1.2071174,0.088432744,6.8543267
31,3100,1.207781,0.08849064,6.8538556
32,3200,1.2062385,0.08840636,6.853847
33,3300,1.2058855,0.088536456,6.853611
34,3400,1.2079178,0.08851155,6.8541784
35,3500,1.2076553,0.088503346,6.855558
36,3600,1.2074387,0.08864475,6.855022
37,3700,1.2081124,0.08850149,6.855369
38,3800,1.2072688,0.08848053,6.8560605
39,3900,1.2072265,0.08852797,6.856197
40,4000,1.2061019,0.088404894,6.8556724
41,4100,1.2064735,0.08843626,6.8560696
42,4200,1.208072,0.088431455,6.855682
43,4300,1.2082833,0.08840753,6.8556137
44,4400,1.2057676,0.088449456,6.8556557
45,4500,1.206272,0.0884655,6.8564806
46,4600,1.2075396,0.088465,6.856285
47,4700,1.2084842,0.08845931,6.85589
48,4800,1.2098625,0.08829897,6.8549585
49,4900,1.210016,0.08836168,6.8558326
50,5000,1.2086992,0.08828909,6.855089
51,5100,1.2102499,0.08844286,6.855954
52,5200,1.2102712,0.088385075,6.855253
53,5300,1.2091639,0.088347234,6.855583
54,5400,1.2120265,0.08827797,6.8545947
55,5500,1.2135305,0.088312134,6.8548193
56,5600,1.2119732,0.08825455,6.85486
57,5700,1.2164065,0.088307366,6.854519
58,5800,1.2165118,0.08814823,6.854259
59,5900,1.2182412,0.088216096,6.853145
60,6000,1.2164805,0.088143244,6.853631
61,6100,1.2166582,0.088176854,6.853614
62,6200,1.218225,0.08813059,6.853496
63,6300,1.2163849,0.08817969,6.8534737
64,6400,1.214616,0.08816026,6.853613
65,6500,1.2144799,0.08821061,6.8539987
66,6600,1.2156613,0.08809376,6.8537583
67,6700,1.2152768,0.08821141,6.853324
68,6800,1.2148163,0.08813475,6.8535147
69,6900,1.2177554,0.08814809,6.853145
70,7000,1.2175602,0.08805949,6.853312
71,7100,1.2152841,0.088049226,6.8530974
72,7200,1.2152237,0.08815118,6.8533635
73,7300,1.2155002,0.088195324,6.852854
74,7400,1.21641,0.08798695,6.8531585
75,7500,1.2154839,0.08811292,6.853837
76,7600,1.2157191,0.08810559,6.8537245
77,7700,1.2157905,0.08809161,6.853649
78,7800,1.214255,0.08803502,6.854288
79,7900,1.2132539,0.0880494,6.854117
80,8000,1.2136829,0.08800503,6.8542633
81,8100,1.2146362,0.08806967,6.8544574
82,8200,1.2145172,0.08803566,6.853928
83,8300,1.2153544,0.08799288,6.8538947
84,8400,1.2138162,0.08812379,6.8540864
85,8500,1.2142403,0.08802804,6.8540134
86,8600,1.2159551,0.08811272,6.853917
87,8700,1.212194,0.0881274,6.8544517
88,8800,1.2143935,0.08802065,6.853919
89,8900,1.2117894,0.088065445,6.8539524
90,9000,1.2112893,0.08800934,6.8539267
91,9100,1.2119281,0.088170074,6.854265
92,9200,1.2120217,0.08803218,6.853854
93,9300,1.2132195,0.088049136,6.8541813
94,9400,1.2132689,0.088098615,6.8538857
95,9500,1.2115008,0.08799657,6.8539724
96,9600,1.2134976,0.08804206,6.853948
97,9700,1.2141222,0.088044904,6.8538704
98,9800,1.2125887,0.08798998,6.8538666
99,9900,1.2130078,0.08804757,6.854391
