,Iteration,Loss,Train_Loss,entropy
0,0,4.087912,3.511412,47.811043
1,100,7.161819,0.10866015,44.161873
2,200,7.300594,0.098953426,36.07958
3,300,7.38626,0.09571229,30.70411
4,400,7.4311776,0.093870625,27.655706
5,500,7.4616,0.09252912,25.511347
6,600,7.4759583,0.091712564,24.161982
7,700,7.4684405,0.091065876,23.227215
8,800,7.4550476,0.090233326,22.318583
9,900,7.434204,0.08992061,21.510824
10,1000,7.446846,0.089488745,20.723455
11,1100,7.425768,0.08915774,20.278818
12,1200,7.367509,0.08880954,20.008633
13,1300,7.331509,0.08841884,19.790903
14,1400,7.2951155,0.08814868,19.550884
15,1500,7.2699423,0.08800621,19.268797
16,1600,7.2150555,0.08772033,18.913872
17,1700,7.083528,0.08736129,18.56657
18,1800,6.961836,0.08715056,18.316885
19,1900,6.89987,0.08692292,18.17819
20,2000,6.859432,0.08680124,18.09099
21,2100,6.8217616,0.08664941,17.993933
22,2200,6.7931304,0.08653846,17.902987
23,2300,6.7667594,0.0864393,17.782103
24,2400,6.705881,0.08625563,17.576233
25,2500,6.6106005,0.08619498,17.309582
26,2600,6.420751,0.08574944,16.935686
27,2700,6.124086,0.08568136,16.554722
28,2800,5.9570794,0.08561703,16.282215
29,2900,5.8842764,0.0854306,16.162989
30,3000,5.8271847,0.08523727,16.071548
31,3100,5.7039084,0.08527601,15.964117
32,3200,5.6164117,0.084842406,15.853794
33,3300,5.5624456,0.084754236,15.697233
34,3400,5.5262995,0.08487828,15.415313
35,3500,5.475063,0.08455615,15.120631
36,3600,5.430632,0.08431743,14.995899
37,3700,5.3946924,0.08444268,14.912726
38,3800,5.3670406,0.0841893,14.853464
39,3900,5.331602,0.08417421,14.794607
40,4000,5.284452,0.08404416,14.700857
41,4100,5.225959,0.08388495,14.58899
42,4200,5.126371,0.08389419,14.389365
43,4300,4.967183,0.08377634,14.060724
44,4400,4.5881677,0.08303225,13.865551
45,4500,3.6979878,0.0817888,12.962093
46,4600,2.4747624,0.08097209,10.236063
47,4700,1.8007702,0.079644114,6.928708
48,4800,1.724398,0.078894615,5.995722
49,4900,1.7365184,0.07886135,5.9952903
50,5000,1.7420348,0.07863529,5.9953814
51,5100,1.7376226,0.078429066,5.995309
