,Iteration,Loss,Train_Loss,a_entropy,b_entropy
0,0,4.1074038,3.34442,47.611862,47.611862
1,100,7.33514,0.0707008,43.169178,43.169178
2,200,7.687074,0.06297488,34.258553,34.258553
3,300,7.902703,0.060738456,28.957119,28.957119
4,400,8.042533,0.059605,25.887384,25.887384
5,500,8.133691,0.05887004,23.946148,23.946148
6,600,8.17815,0.058315143,22.683754,22.683754
7,700,8.221081,0.057905745,21.862942,21.862942
8,800,8.253008,0.05756598,21.265032,21.265032
9,900,8.2806225,0.05737364,20.815407,20.815407
10,1000,8.292357,0.057172213,20.452587,20.452587
11,1100,8.297221,0.056910325,20.070602,20.070602
12,1200,8.317017,0.056803625,19.669313,19.669313
13,1300,8.331212,0.05676399,19.289362,19.289362
14,1400,8.351581,0.056333754,18.998903,18.998903
15,1500,8.354139,0.056439437,18.730366,18.730366
16,1600,8.35658,0.056380313,18.545599,18.545599
17,1700,8.369834,0.056269046,18.37341,18.37341
18,1800,8.378759,0.056063313,18.176252,18.176252
19,1900,8.375628,0.056187924,18.008406,18.008406
20,2000,8.367498,0.056362692,17.869932,17.869932
21,2100,8.370472,0.05624481,17.792797,17.792797
22,2200,8.369625,0.05607738,17.748724,17.748724
23,2300,8.378572,0.055895906,17.69777,17.69777
24,2400,8.374848,0.055970088,17.652191,17.652191
25,2500,8.373922,0.056123793,17.604944,17.604944
26,2600,8.38099,0.056006197,17.547894,17.547894
27,2700,8.379684,0.056075927,17.50652,17.50652
28,2800,8.382172,0.055750128,17.452497,17.452497
29,2900,8.379713,0.05588486,17.387362,17.387362
30,3000,8.382042,0.055955134,17.301775,17.301775
31,3100,8.376753,0.055912502,17.200157,17.200157
32,3200,8.370756,0.05587144,17.121197,17.121197
33,3300,8.368125,0.055882316,17.08675,17.08675
34,3400,8.364627,0.055740274,17.079063,17.079063
35,3500,8.354929,0.05575413,17.060589,17.060589
36,3600,8.352304,0.055734366,17.05437,17.05437
37,3700,8.352265,0.055714633,17.03836,17.03836
38,3800,8.35321,0.05569088,17.030088,17.030088
39,3900,8.358933,0.055544253,17.02105,17.02105
40,4000,8.3501,0.0554917,17.002748,17.002748
41,4100,8.350103,0.055509903,16.99594,16.99594
42,4200,8.348641,0.055398818,16.990065,16.990065
43,4300,8.341584,0.055608008,16.985281,16.985281
44,4400,8.339783,0.055794243,16.972656,16.972656
45,4500,8.34575,0.05545728,16.96819,16.96819
46,4600,8.344678,0.055493455,16.960197,16.960197
47,4700,8.338896,0.055664405,16.952929,16.952929
48,4800,8.336865,0.0555683,16.943121,16.943121
49,4900,8.332985,0.055604048,16.93282,16.93282
50,5000,8.336985,0.055550713,16.92718,16.92718
51,5100,8.341975,0.05555813,16.91861,16.91861
52,5200,8.336142,0.05554483,16.908283,16.908283
53,5300,8.338066,0.055400748,16.9029,16.9029
54,5400,8.332077,0.055538867,16.899065,16.899065
55,5500,8.329824,0.05560793,16.897982,16.897982
56,5600,8.330861,0.05554997,16.888361,16.888361
57,5700,8.33252,0.055410884,16.878511,16.878511
58,5800,8.333364,0.055534728,16.87783,16.87783
59,5900,8.331012,0.05540604,16.87354,16.87354
60,6000,8.334781,0.05538453,16.87141,16.87141
61,6100,8.335865,0.05533136,16.857573,16.857573
62,6200,8.335304,0.055470783,16.858908,16.858908
63,6300,8.334169,0.05534352,16.854519,16.854519
64,6400,8.334032,0.055451404,16.852438,16.852438
65,6500,8.327183,0.05542911,16.838976,16.838976
66,6600,8.329003,0.055433966,16.829302,16.829302
67,6700,8.334967,0.05524878,16.816118,16.816118
68,6800,8.330956,0.055375125,16.802565,16.802565
69,6900,8.336497,0.055393703,16.786469,16.786469
70,7000,8.341603,0.05527375,16.764671,16.764671
71,7100,8.33747,0.055470284,16.753487,16.753487
72,7200,8.3372,0.05520317,16.743868,16.743868
73,7300,8.333139,0.05539635,16.732645,16.732645
74,7400,8.33195,0.055315886,16.73069,16.73069
75,7500,8.336598,0.055342942,16.723755,16.723755
76,7600,8.332809,0.055314425,16.7233,16.7233
77,7700,8.332453,0.05537605,16.721315,16.721315
78,7800,8.336817,0.05520075,16.718529,16.718529
79,7900,8.333118,0.05525979,16.717302,16.717302
