,Iteration,Loss,Train_Loss,a_entropy,b_entropy
0,0,4.1764708,3.64154,47.987503,47.987503
1,100,7.213364,0.116828114,48.0035,48.0035
2,200,5.563426,0.099344514,46.231476,46.231476
3,300,2.9909942,0.0860139,37.588272,37.588272
4,400,0.934442,0.07335427,22.662895,22.662895
5,500,0.49134135,0.06738655,15.741554,15.741554
6,600,0.38957402,0.06512023,13.988984,13.988984
7,700,0.31654716,0.06378043,11.335949,11.335949
8,800,0.28023094,0.063425235,9.946473,9.946473
9,900,0.2818885,0.063121624,9.844358,9.844358
10,1000,0.28409657,0.063016616,9.848723,9.848723
11,1100,0.286174,0.062873326,9.848791,9.848791
12,1200,0.2867487,0.06288189,9.845549,9.845549
13,1300,0.2854223,0.06283097,9.8382635,9.8382635
14,1400,0.28262827,0.06277602,9.809916,9.809916
15,1500,0.27980646,0.06278805,9.788741,9.788741
16,1600,0.2795373,0.06273822,9.796154,9.796154
17,1700,0.28010774,0.06266142,9.799279,9.799279
18,1800,0.2801684,0.06267659,9.798219,9.798219
19,1900,0.28095803,0.06262382,9.796995,9.796995
20,2000,0.28107294,0.06256065,9.795882,9.795882
21,2100,0.28100848,0.06264625,9.7965975,9.7965975
22,2200,0.28102738,0.06268104,9.797655,9.797655
23,2300,0.28098986,0.06262088,9.798085,9.798085
24,2400,0.2806462,0.06266239,9.798483,9.798483
25,2500,0.2793095,0.06261411,9.797945,9.797945
26,2600,0.27925557,0.0625913,9.79881,9.79881
27,2700,0.28003514,0.06269291,9.799239,9.799239
28,2800,0.28012764,0.062637225,9.798011,9.798011
29,2900,0.27982306,0.06269217,9.798056,9.798056
30,3000,0.2800746,0.06262859,9.797711,9.797711
31,3100,0.27985358,0.06256701,9.797768,9.797768
32,3200,0.27942255,0.06254181,9.797606,9.797606
33,3300,0.28027225,0.06262932,9.797526,9.797526
34,3400,0.27943587,0.06258847,9.797153,9.797153
35,3500,0.27950084,0.06260569,9.796644,9.796644
36,3600,0.27930787,0.06269769,9.796184,9.796184
37,3700,0.27928486,0.06262805,9.795383,9.795383
38,3800,0.27986383,0.06264145,9.794592,9.794592
39,3900,0.27940056,0.06259919,9.794832,9.794832
40,4000,0.27941662,0.06270542,9.794753,9.794753
41,4100,0.27883175,0.06258147,9.794711,9.794711
42,4200,0.27891958,0.062647514,9.794451,9.794451
43,4300,0.2789482,0.06266448,9.79412,9.79412
44,4400,0.27881822,0.06262999,9.793685,9.793685
45,4500,0.27825716,0.06255999,9.793727,9.793727
46,4600,0.2778328,0.06274076,9.792742,9.792742
47,4700,0.27876568,0.06262821,9.792579,9.792579
48,4800,0.27828008,0.06268262,9.792696,9.792696
49,4900,0.2798494,0.062740706,9.7928095,9.7928095
50,5000,0.27809379,0.06268314,9.792669,9.792669
51,5100,0.27834606,0.06268641,9.792882,9.792882
52,5200,0.27766785,0.06262137,9.792461,9.792461
53,5300,0.2789861,0.06267059,9.792525,9.792525
54,5400,0.27827168,0.06266121,9.7927065,9.7927065
55,5500,0.27835557,0.06272037,9.7918625,9.7918625
56,5600,0.27665192,0.06269269,9.79146,9.79146
57,5700,0.2786572,0.06270337,9.791537,9.791537
58,5800,0.27776653,0.06268327,9.790967,9.790967
59,5900,0.27741727,0.06268959,9.790776,9.790776
60,6000,0.2779473,0.06268039,9.790136,9.790136
61,6100,0.2768242,0.062559806,9.791273,9.791273
62,6200,0.27803165,0.062688544,9.79051,9.79051
63,6300,0.27808127,0.06266524,9.789736,9.789736
64,6400,0.2769603,0.06275418,9.789736,9.789736
65,6500,0.27778596,0.06270689,9.789672,9.789672
66,6600,0.27691033,0.0626261,9.790592,9.790592
67,6700,0.27699015,0.06255456,9.790331,9.790331
68,6800,0.2770507,0.06264842,9.7900715,9.7900715
69,6900,0.27583417,0.06274291,9.790813,9.790813
70,7000,0.27707538,0.06272605,9.790373,9.790373
71,7100,0.27581435,0.062618114,9.789852,9.789852
72,7200,0.27607656,0.0627413,9.790631,9.790631
73,7300,0.27569684,0.06264946,9.790291,9.790291
74,7400,0.27581525,0.0627104,9.790057,9.790057
75,7500,0.27559328,0.06262024,9.790236,9.790236
76,7600,0.27584437,0.06268758,9.790428,9.790428
77,7700,0.2750053,0.06264943,9.789928,9.789928
78,7800,0.27581057,0.0626926,9.790643,9.790643
79,7900,0.27569306,0.06258657,9.790223,9.790223
80,8000,0.27530628,0.06263593,9.789938,9.789938
81,8100,0.2757949,0.06268003,9.79012,9.79012
82,8200,0.27471676,0.062750414,9.790123,9.790123
83,8300,0.27467176,0.06266976,9.79026,9.79026
84,8400,0.27308422,0.0626039,9.790893,9.790893
85,8500,0.27410322,0.06277268,9.7911005,9.7911005
86,8600,0.273088,0.06268597,9.791549,9.791549
87,8700,0.27252647,0.06271139,9.791969,9.791969
88,8800,0.27272773,0.062713616,9.790501,9.790501
89,8900,0.2726426,0.06265554,9.790477,9.790477
90,9000,0.27352083,0.06265382,9.791341,9.791341
91,9100,0.27349895,0.06264827,9.791602,9.791602
92,9200,0.27257058,0.062648416,9.791281,9.791281
93,9300,0.27333385,0.062657766,9.791945,9.791945
94,9400,0.27297223,0.06266437,9.790746,9.790746
95,9500,0.2729184,0.06272608,9.79126,9.79126
96,9600,0.2728594,0.062690556,9.79166,9.79166
97,9700,0.27307364,0.06267386,9.791212,9.791212
98,9800,0.2732376,0.062677085,9.791021,9.791021
99,9900,0.27322036,0.0626459,9.791332,9.791332
