,Iteration,Loss,Train_Loss,entropy
0,0,4.0629025,3.616633,47.838432
1,100,6.9926786,0.15084451,45.45184
2,200,6.9761662,0.14020795,39.941696
3,300,6.989314,0.13614017,35.484386
4,400,6.9394445,0.1336398,32.6278
5,500,6.8701353,0.1319661,30.813951
6,600,6.7066197,0.13021822,29.08543
7,700,6.4969964,0.12877662,26.65891
8,800,6.2911816,0.12722231,24.578506
9,900,6.0674686,0.12605706,22.992632
10,1000,5.8153386,0.12508973,21.744709
11,1100,5.751447,0.12454893,20.925667
12,1200,5.701458,0.12394932,20.183437
13,1300,5.6733637,0.12344744,19.516975
14,1400,5.6518126,0.122962624,18.691967
15,1500,5.62125,0.12254976,18.2041
16,1600,5.6030755,0.122174285,17.871037
17,1700,5.588655,0.121716104,17.660206
18,1800,5.563353,0.12154934,17.3747
19,1900,5.538383,0.121437274,17.068022
20,2000,5.529735,0.121010095,16.95798
21,2100,5.5218863,0.120845,16.848726
22,2200,5.5155187,0.12079289,16.74986
23,2300,5.5052714,0.12073854,16.63985
24,2400,5.5026665,0.12061475,16.523046
25,2500,5.505281,0.12048771,16.417337
26,2600,5.50657,0.12056599,16.25721
27,2700,5.502923,0.12033837,16.045965
28,2800,5.5001187,0.12029234,15.913742
29,2900,5.4979563,0.12045847,15.730364
30,3000,5.494137,0.12039913,15.587551
31,3100,5.490499,0.12040371,15.537134
32,3200,5.4884744,0.12007351,15.485981
33,3300,5.4811373,0.12012813,15.43178
34,3400,5.484191,0.11992783,15.346789
35,3500,5.487558,0.11993825,15.215974
36,3600,5.487652,0.12004494,15.063276
37,3700,5.485465,0.11989731,14.884696
38,3800,5.4778957,0.11960213,14.805401
39,3900,5.4766827,0.119712085,14.778802
40,4000,5.4794765,0.11951802,14.749551
41,4100,5.4743447,0.11954568,14.722555
42,4200,5.4685597,0.119548775,14.701634
43,4300,5.4640985,0.119595304,14.680252
44,4400,5.46165,0.11938881,14.649096
45,4500,5.4595933,0.11925907,14.624793
46,4600,5.4553723,0.11932452,14.616459
47,4700,5.453656,0.119419076,14.59281
48,4800,5.454702,0.11931785,14.576552
49,4900,5.453974,0.119307324,14.562447
50,5000,5.454958,0.11920007,14.55396
51,5100,5.4527874,0.11923269,14.543596
52,5200,5.4518538,0.11920449,14.526165
53,5300,5.450246,0.11924619,14.508083
54,5400,5.450587,0.11925973,14.4950075
55,5500,5.4537907,0.11927746,14.476541
56,5600,5.454961,0.11919953,14.45045
57,5700,5.453723,0.11928769,14.429504
58,5800,5.453181,0.119210534,14.401614
59,5900,5.455295,0.11914681,14.37465
60,6000,5.4538975,0.119309045,14.336572
61,6100,5.456082,0.119098626,14.2983265
62,6200,5.45609,0.11924891,14.24484
63,6300,5.4536257,0.11912705,14.188644
64,6400,5.453437,0.11913053,14.151806
65,6500,5.45075,0.11897149,14.142871
66,6600,5.452066,0.11897803,14.14101
67,6700,5.4473867,0.119039945,14.142614
68,6800,5.4474983,0.11908911,14.140972
69,6900,5.4464116,0.11895513,14.139122
70,7000,5.4455023,0.11896169,14.139307
71,7100,5.447811,0.118934065,14.136769
72,7200,5.4444346,0.118959755,14.135639
73,7300,5.441389,0.11888088,14.132843
74,7400,5.442028,0.11875292,14.134588
75,7500,5.440475,0.118755296,14.133339
76,7600,5.442121,0.118780136,14.13038
77,7700,5.4444833,0.118720666,14.128993
78,7800,5.4437056,0.11878913,14.126806
79,7900,5.44213,0.11868329,14.124991
80,8000,5.443162,0.11870938,14.1279745
81,8100,5.441375,0.11871179,14.1266575
82,8200,5.441757,0.11875781,14.1256075
83,8300,5.4431796,0.11871003,14.128069
84,8400,5.443245,0.11873618,14.128433
85,8500,5.4434276,0.11874293,14.129464
86,8600,5.445241,0.11869094,14.129793
87,8700,5.442938,0.11880397,14.126782
88,8800,5.4397316,0.1186993,14.126681
89,8900,5.4364095,0.11865076,14.125479
90,9000,5.437139,0.11871763,14.126095
91,9100,5.4394474,0.118585095,14.124139
92,9200,5.4387383,0.11864748,14.124559
93,9300,5.4373775,0.11867997,14.124378
94,9400,5.439643,0.118652344,14.124196
95,9500,5.436652,0.11877171,14.124288
96,9600,5.4364285,0.11863756,14.125109
97,9700,5.435842,0.11861948,14.124658
98,9800,5.43708,0.11877701,14.126406
99,9900,5.435421,0.118612185,14.1263275
